Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4576749027328,159887319,0.35,1.63,0.56,1.39,-0.29,-0.07,-0.59,39.14,74.13,618.1,809.99,2440.82
2,AAPL,Apple Inc.,3885396656128,33598417,0.09,0.18,1.0,-4.86,2.45,-1.0,2.63,32.02,19.44,68.37,90.52,286.36
3,GOOG,Alphabet Inc.,3676762275840,15791061,0.04,0.37,-1.76,-5.93,-9.27,-4.22,23.91,76.32,92.85,189.32,122.94,380.01
3,GOOGL,Alphabet Inc.,3669382922240,28232579,0.08,0.43,-1.83,-6.05,-9.33,-4.17,24.08,77.11,94.0,191.29,122.17,380.97
4,MSFT,Microsoft Corporation,2969978273792,23013887,0.08,0.69,-0.56,-0.38,-16.85,-15.49,-23.72,-12.89,-1.49,49.07,41.16,141.15
5,AMZN,"Amazon.com, Inc.",2198404333568,49711851,0.23,1.81,2.6,-2.63,-16.3,-12.13,-9.07,-0.11,16.19,103.55,25.56,72.38
6,META,"Meta Platforms, Inc.",1627060568064,14565880,0.09,0.61,-1.01,-2.76,-4.42,-2.36,-10.32,-0.43,26.31,220.4,94.14,245.45
7,AVGO,Broadcom Inc.,1581262176256,13518091,0.09,0.29,0.71,0.18,0.22,-2.89,-3.29,38.6,121.57,443.9,641.32,1319.94
8,TSLA,"Tesla, Inc.",1543450263552,45533478,0.3,0.17,-1.38,0.05,-4.54,-8.93,-6.24,18.72,95.31,108.18,57.64,672.43
9,WMT,Walmart Inc.,1009522442240,36273309,0.36,-1.73,-5.25,-3.48,8.28,12.34,23.3,28.82,66.02,179.45,191.98,220.76
10,ASML,ASML Holding N.V. - New York Re,570080231424,1307772,0.02,3.45,4.4,4.08,1.1,19.74,49.14,100.47,76.03,134.88,109.43,430.93
11,MU,"Micron Technology, Inc.",473783140352,31902677,0.67,5.3,1.69,6.65,2.61,34.86,114.27,346.52,377.93,628.42,516.0,852.82
12,COST,Costco Wholesale Corporation,442217398272,1893651,0.04,-1.58,-0.28,-0.51,2.8,13.9,9.19,-3.84,14.27,111.36,133.21,252.58
13,NFLX,"Netflix, Inc.",330824941568,29762561,0.9,1.29,2.81,-5.12,-8.87,-14.73,-35.77,-35.4,15.49,155.04,22.03,85.08
14,AMD,"Advanced Micro Devices, Inc.",326277824512,35051505,1.07,-1.46,-2.83,-3.99,-20.6,-9.48,-15.05,80.73,46.14,108.61,93.09,254.26
15,PLTR,Palantir Technologies Inc.,322669608960,58383224,1.81,1.77,4.84,-0.38,-18.3,-22.21,-26.25,2.73,343.72,1502.13,474.13,
16,CSCO,"Cisco Systems, Inc.",308896563200,19430517,0.63,1.73,4.24,-7.83,-0.64,3.44,11.76,26.19,62.29,67.99,64.06,115.17
17,LRCX,Lam Research Corporation,301560233984,10090768,0.33,1.91,3.8,3.93,0.68,23.27,68.71,199.0,218.36,386.52,356.42,868.97
18,AMAT,"Applied Materials, Inc.",293121327104,8779088,0.3,2.83,12.46,14.51,11.0,29.89,70.12,136.74,103.89,214.37,203.14,663.49
19,TMUS,"T-Mobile US, Inc.",238521532416,5524283,0.23,-2.9,-0.67,8.03,15.59,6.17,-5.42,-11.2,8.39,52.58,77.15,142.8
20,LIN,Linde plc,227552411648,2421709,0.11,0.63,2.63,8.26,7.12,12.05,4.11,4.83,4.37,47.32,73.68,185.16
21,INTC,Intel Corporation,227080814592,63008854,2.77,-1.56,-2.19,-10.14,3.48,15.47,21.45,132.53,126.17,63.66,-8.57,-13.76
22,PEP,"Pepsico, Inc.",224777043968,7238669,0.32,1.53,-1.68,-3.58,10.49,17.49,19.56,28.92,-2.15,1.28,21.07,45.82
23,AMGN,Amgen Inc.,204700155904,2729608,0.13,1.71,4.41,-0.51,8.84,19.22,30.71,34.71,20.41,79.07,108.48,88.38
24,TXN,Texas Instruments Incorporated,202913710080,6498708,0.32,-1.05,0.14,0.85,14.32,26.87,24.88,24.92,15.74,37.01,31.02,128.71
25,KLAC,KLA Corporation,194500083712,650023,0.03,0.69,2.16,2.72,-8.3,9.6,39.73,96.59,102.18,295.15,371.08,854.31
26,GILD,"Gilead Sciences, Inc.",189501423616,4724509,0.25,-1.63,0.61,0.16,8.35,29.11,30.02,41.64,100.51,112.46,165.69,138.81
27,ISRG,"Intuitive Surgical, Inc.",177835016192,1463859,0.08,1.5,4.63,2.58,-4.62,-11.59,11.75,-9.34,3.58,103.0,49.51,190.52
28,ADI,"Analog Devices, Inc.",169601499136,8341489,0.49,2.63,4.53,8.09,14.0,24.91,46.09,63.83,61.66,92.77,124.75,255.17
29,HON,Honeywell International Inc.,162496937984,2749251,0.17,-0.62,0.55,1.16,9.16,19.92,22.65,14.14,28.24,42.02,29.01,106.15
30,SHOP,Shopify Inc.,158750375936,18222273,1.15,7.13,9.92,8.56,-11.53,-26.82,-26.91,13.45,70.7,165.94,-9.89,93.52
31,QCOM,QUALCOMM Incorporated,152986796032,9805368,0.64,0.43,3.44,4.3,-6.4,-18.76,-14.18,0.32,-9.35,23.1,22.78,113.64
32,PDD,PDD Holdings Inc.,146110005248,4896926,0.34,1.07,2.69,-2.2,-3.73,-13.6,-23.06,6.64,5.29,30.39,15.23,101.05
33,BKNG,Booking Holdings Inc. Common St,138389897216,654845,0.05,3.14,2.67,-4.2,-17.14,-20.45,-16.63,-22.21,13.24,68.78,77.27,209.33
34,APP,Applovin Corporation,136810397696,5720820,0.42,7.44,10.22,-0.57,-25.6,-36.11,-35.78,2.9,358.86,2739.82,425.18,
35,ARM,Arm Holdings plc,135128694784,4255675,0.31,0.28,4.13,2.86,10.76,9.59,-23.7,2.17,2.83,,,
