Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4448787103744,175709563,0.39,1.66,3.3,-4.44,-2.92,2.79,1.54,28.94,58.41,567.29,729.83,2178.19
2,AAPL,Apple Inc.,3858499371008,39258957,0.1,-0.47,-0.63,-1.38,-4.08,6.51,1.77,34.04,21.89,60.79,80.0,243.97
3,GOOG,Alphabet Inc.,3670834937856,19892189,0.05,-0.04,-2.56,-2.64,-4.76,-5.81,20.24,72.8,90.28,190.84,114.67,335.74
3,GOOGL,Alphabet Inc.,3666963857408,29310644,0.08,-0.15,-2.77,-2.68,-4.85,-5.86,20.52,73.81,91.23,191.65,115.44,335.2
4,MSFT,Microsoft Corporation,3011599663104,35644323,0.12,0.31,3.17,5.39,-1.73,-10.65,-21.83,-14.19,-5.79,44.44,36.79,128.43
5,AMZN,"Amazon.com, Inc.",2327545643008,54286831,0.23,3.88,3.25,5.63,4.76,-6.14,-0.52,2.23,16.02,108.58,26.98,80.01
6,META,"Meta Platforms, Inc.",1689059983360,10709535,0.06,1.93,3.02,4.78,-0.45,10.53,-8.88,-2.0,25.0,213.15,97.31,215.41
7,TSLA,"Tesla, Inc.",1523262160896,67670354,0.44,3.44,0.85,1.53,-4.53,-3.17,-7.52,24.79,78.15,110.79,40.66,650.55
8,AVGO,Broadcom Inc.,1505496662016,27262543,0.18,1.18,-0.63,-3.88,-6.73,-4.53,-6.51,28.44,98.38,419.75,577.24,1217.79
9,WMT,Walmart Inc.,1019010088960,16398310,0.16,-0.08,-0.11,1.59,0.88,7.67,19.54,35.93,64.53,169.03,177.8,234.43
10,ASML,ASML Holding N.V. - New York Re,549474795520,1431329,0.03,2.82,-3.53,-5.83,-1.01,5.67,38.76,84.92,75.98,114.9,90.39,383.44
11,MU,"Micron Technology, Inc.",451070328832,32265916,0.72,5.55,-2.81,-4.8,7.37,9.8,102.01,247.37,354.25,609.97,500.82,752.18
12,COST,Costco Wholesale Corporation,446949982208,1774962,0.04,-0.1,-0.4,2.1,3.66,4.41,6.72,1.95,12.94,110.38,125.14,253.28
13,NFLX,"Netflix, Inc.",418504835072,52115674,1.25,0.98,2.51,29.78,20.01,13.06,-11.62,-18.61,39.57,184.53,57.82,123.96
14,PLTR,Palantir Technologies Inc.,366380810240,59673984,1.63,4.06,11.66,17.3,9.81,-9.1,-12.71,11.49,320.27,1734.61,532.49,
15,AMD,"Advanced Micro Devices, Inc.",329457139712,40110276,1.22,5.82,0.93,2.78,-5.38,-12.87,-12.23,73.96,33.98,110.78,73.61,262.52
16,CSCO,"Cisco Systems, Inc.",319525027840,20270513,0.63,2.42,1.77,4.03,-6.28,10.25,15.06,28.39,66.05,68.65,62.88,121.24
17,AMAT,"Applied Materials, Inc.",283921874944,5840413,0.21,1.83,-3.91,-4.23,8.85,12.56,62.73,111.0,92.29,205.64,177.66,599.69
18,LRCX,Lam Research Corporation,280082120704,8579930,0.31,2.76,-4.55,-7.85,-1.48,0.38,58.32,150.92,195.02,355.16,314.08,808.52
19,TMUS,"T-Mobile US, Inc.",245747105792,6473280,0.26,0.54,1.21,0.37,10.7,20.21,-2.44,-2.35,11.01,56.18,87.4,136.26
20,LIN,Linde plc,231321731072,2096231,0.09,-0.5,-1.75,0.2,8.4,15.25,11.36,7.86,7.59,44.56,69.95,189.76
21,INTC,Intel Corporation,227680239616,96145709,4.22,5.75,-0.07,4.47,-3.29,-6.14,23.46,126.32,112.3,41.09,-10.63,-14.97
