Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,AAPL,Apple Inc.,3580177154048,58293813,0.16,-2.41,-3.33,-6.09,-6.56,1.71,3.54,42.42,21.86,42.57,80.83,416.97
2,NVDA,NVIDIA Corporation,3328436076544,204822623,0.62,-3.0,-9.05,-1.15,4.23,-0.07,13.87,64.93,190.85,468.44,886.15,2984.43
3,MSFT,Microsoft Corporation,3114842980352,19826981,0.06,-1.32,-2.08,-1.38,-7.81,0.04,0.63,3.37,25.26,45.68,91.21,278.13
4,GOOGL,Alphabet Inc.,2357022162944,25712962,0.11,-0.98,-2.45,0.42,-1.73,14.68,17.83,21.78,45.37,43.53,132.9,219.19
4,GOOG,Alphabet Inc.,2357021638656,18566759,0.08,-1.14,-2.42,0.25,-2.0,14.14,17.28,21.23,45.75,44.53,133.47,221.63
5,AMZN,"Amazon.com, Inc.",2302154113024,35978215,0.16,-1.44,-3.81,-1.07,-5.28,8.68,22.66,21.94,65.6,42.82,25.14,148.12
6,META,"Meta Platforms, Inc.",1554732417024,19177518,0.12,0.84,-2.28,4.16,-0.58,9.07,18.35,24.48,89.94,181.58,109.25,276.18
7,TSLA,"Tesla, Inc.",1267139084288,61427072,0.48,-0.05,-3.97,-5.43,-17.74,16.58,84.36,172.84,48.15,37.7,149.28,2138.35
8,AVGO,Broadcom Inc.,1051421704192,23603974,0.22,-2.18,-5.12,-4.78,-6.38,36.46,38.59,81.21,155.19,318.51,599.47,808.73
9,COST,Costco Wholesale Corporation,415906725888,2716409,0.07,1.03,1.54,1.6,-4.6,-2.49,5.13,30.21,71.74,91.53,188.25,332.2
10,NFLX,"Netflix, Inc.",358077267968,4775301,0.13,-4.26,-5.0,-6.97,-8.86,-3.22,19.44,44.99,96.74,114.07,50.51,132.04
11,ASML,ASML Holding N.V. - New York Re,297632595968,1472840,0.05,-0.67,-3.84,6.16,0.52,7.97,-18.05,-17.52,4.2,21.29,98.81,318.39
12,TMUS,"T-Mobile US, Inc.",245211529216,4113645,0.17,-1.96,-0.51,-4.24,-4.26,-11.62,6.71,30.82,52.87,73.0,84.22,199.52
13,CSCO,"Cisco Systems, Inc.",233947332608,17273489,0.74,-0.78,-0.05,-0.08,1.06,0.68,17.91,24.38,18.08,19.73,60.44,33.71
14,AZN,Astrazeneca PLC,210564186112,5670311,0.27,0.65,0.25,2.2,-0.25,0.92,-23.52,-4.84,-3.4,23.3,32.78,79.42
15,LIN,Linde plc,197200838656,2623817,0.13,-1.4,0.3,-0.84,-3.73,-8.84,-12.88,-6.09,8.54,46.42,71.7,165.79
16,PEP,"Pepsico, Inc.",195700654080,9612483,0.49,-2.66,-2.48,-5.98,-8.65,-11.77,-16.16,-14.68,-21.51,-7.77,16.62,39.34
