Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4161988460544,182162282,0.44,-4.16,-2.51,-5.88,-6.59,-9.89,-8.35,5.15,29.14,529.51,464.67,1860.33
2,AAPL,Apple Inc.,3716958388224,41331888,0.11,0.11,0.56,-0.53,-2.84,-8.21,-7.26,20.14,10.9,52.34,74.77,221.05
3,GOOGL,Alphabet Inc.,3398289588224,38906505,0.11,-3.44,-7.0,-9.65,-6.57,-9.6,0.98,59.41,74.56,163.26,94.31,293.6
3,GOOG,Alphabet Inc.,3396111695872,28870381,0.09,-3.06,-6.11,-9.27,-6.64,-9.76,0.72,58.38,73.16,161.18,92.88,294.11
4,MSFT,Microsoft Corporation,2720027377664,36436874,0.13,-1.37,-4.45,-8.37,-10.89,-9.29,-26.98,-26.89,-11.31,22.9,14.25,107.27
5,AMZN,"Amazon.com, Inc.",2227925417984,45915765,0.21,-1.97,-1.24,-3.56,-5.21,1.7,-12.64,-6.74,12.08,88.98,19.53,67.48
6,AVGO,Broadcom Inc.,1467021262848,20146742,0.14,-2.95,-4.06,-3.5,-6.82,-9.54,-8.62,11.98,68.71,420.66,506.54,1044.93
7,TSLA,"Tesla, Inc.",1396317356032,54835418,0.39,-3.59,-2.29,-6.8,-8.25,-13.11,-7.43,25.76,54.37,132.29,4.97,532.15
8,META,"Meta Platforms, Inc.",1385032712192,34368583,0.25,-7.96,-9.36,-12.06,-17.04,-18.05,-10.07,-25.1,-6.83,131.32,68.38,139.76
9,WMT,Walmart Inc.,974068187136,16396063,0.17,-0.72,1.21,-2.12,-0.71,-4.92,19.64,27.02,54.08,150.64,161.63,220.87
10,ASML,ASML Holding N.V. - New York Re,522039721984,1714993,0.03,-4.62,-2.93,-4.29,-2.84,-7.39,30.53,67.16,59.25,116.97,66.2,303.72
11,COST,Costco Wholesale Corporation,434836668416,1494570,0.03,0.49,1.44,-1.66,-0.3,0.15,6.04,0.17,8.61,103.55,100.89,248.39
12,MU,"Micron Technology, Inc.",400864313344,54104778,1.35,-6.97,-12.09,-23.01,-10.47,-13.37,50.08,191.09,251.12,481.43,388.0,644.71
13,NFLX,"Netflix, Inc.",395853135872,59159281,1.49,1.13,-0.06,-1.1,-5.9,17.21,-19.15,-27.56,28.29,186.39,41.91,121.15
14,PLTR,Palantir Technologies Inc.,352915652608,42818707,1.21,-4.78,-8.26,-4.85,-3.35,8.76,-14.28,3.1,242.13,1786.96,541.84,
15,AMD,"Advanced Micro Devices, Inc.",332228820992,48373472,1.46,-7.49,0.54,3.8,2.17,-4.59,-17.82,47.22,19.15,133.04,39.56,286.44
16,CSCO,"Cisco Systems, Inc.",324621926400,26148387,0.81,0.4,4.24,3.65,2.69,-3.95,6.75,19.96,58.2,90.7,63.85,107.44
17,AMAT,"Applied Materials, Inc.",268676612096,9250310,0.34,-8.34,-6.42,-3.95,-2.3,-0.27,52.15,74.32,67.35,211.09,128.74,516.15
18,LRCX,Lam Research Corporation,265801056256,13433967,0.51,-9.35,-9.3,-6.56,-1.43,-9.89,38.42,113.05,158.83,319.8,262.11,688.09
19,TMUS,"T-Mobile US, Inc.",236664815616,5201752,0.22,0.11,1.36,-0.82,-4.06,1.46,-0.42,-7.7,2.18,46.77,85.76,117.44
20,LIN,Linde plc,229607161856,2931294,0.13,0.64,3.65,0.29,1.45,6.34,16.41,6.22,7.63,40.88,56.94,152.1
21,INTC,Intel Corporation,221426548736,81303726,3.67,-6.53,0.2,0.09,-4.03,-8.68,22.81,88.14,87.98,51.32,-5.9,-20.12
22,PEP,"Pepsico, Inc.",206235926528,5607643,0.27,-0.59,-0.03,-3.62,-5.3,-10.03,5.96,15.38,-7.5,-12.02,6.75,36.65
23,KLAC,KLA Corporation,190667358208,1090518,0.06,-6.0,-3.99,-2.04,1.52,-1.79,25.28,58.0,82.63,287.79,268.17,730.97
24,AMGN,Amgen Inc.,190377132032,2044564,0.11,-0.22,0.97,-2.21,-3.93,-2.99,6.59,21.76,14.8,61.42,92.45,90.89
25,TXN,Texas Instruments Incorporated,176092725248,6303747,0.36,-1.71,2.53,-0.53,-2.31,-14.63,20.0,-8.58,-1.29,28.09,16.24,78.89
26,GILD,"Gilead Sciences, Inc.",169895968768,4285256,0.25,-1.0,-0.33,-5.21,-5.16,-11.64,10.68,23.22,65.65,81.37,139.63,131.13
27,ISRG,"Intuitive Surgical, Inc.",166414761984,1603104,0.1,-0.3,-1.99,-2.94,-5.67,-5.56,-17.15,-11.28,-4.45,58.34,33.57,144.69
28,ARM,Arm Holdings plc,164397383680,15512187,0.94,-1.45,13.08,21.59,28.34,23.56,10.33,4.58,4.29,,,
29,ADI,"Analog Devices, Inc.",153012961280,3922061,0.26,-2.67,0.39,-0.08,-4.94,-6.71,32.83,30.5,37.6,85.6,85.01,184.82
30,SHOP,Shopify Inc.,150645800960,7628326,0.51,-2.52,-4.68,-9.68,-14.36,-2.76,-21.12,0.97,38.39,142.55,-22.55,51.48
31,HON,Honeywell International Inc.,143135096832,4310948,0.3,-0.27,0.97,-2.7,-5.54,-6.76,13.9,1.7,15.37,28.27,18.28,75.17
32,PDD,PDD Holdings Inc.,142844837888,10418771,0.73,-1.94,4.54,-3.59,-0.12,-3.78,-25.17,-4.17,-28.88,52.18,8.34,47.64
33,QCOM,QUALCOMM Incorporated,139422597120,11762331,0.84,0.15,1.71,-0.8,-4.72,-6.85,-24.33,-16.66,-20.68,22.7,-12.29,75.65
34,BKNG,Booking Holdings Inc. Common St,135825555456,324700,0.02,-0.57,-4.16,-5.15,-8.45,-2.07,-16.63,-25.22,-0.7,62.63,73.15,148.7
35,APP,Applovin Corporation,132211376128,6216888,0.47,-10.41,-14.76,-14.79,-23.07,-14.36,-29.66,10.91,172.81,2197.18,240.63,
36,PANW,"Palo Alto Networks, Inc.",127589761024,6074823,0.48,2.05,-4.69,-7.58,-4.17,-5.41,-23.64,-24.12,-13.82,68.93,84.72,301.94
