Rank,Symbol,Name,Market Cap,Volume,1d%,7d%,30d%,90d%,6mo%,1y%,2y%,3y%,4y%
1,AAPL,Apple Inc.,3461593694208,19867195,0.0,0.87,1.51,-2.11,35.06,27.74,31.99,140.41,475.75
2,NVDA,NVIDIA Corporation,3431496679424,144802071,0.0,-5.26,5.25,8.91,62.74,263.35,372.66,1271.83,3796.83
3,MSFT,Microsoft Corporation,3084411207680,7626773,0.0,-1.75,0.11,-8.38,3.48,28.87,27.0,107.07,327.69
4,GOOG,Alphabet Inc.,2145092370432,6446241,0.0,-2.08,6.29,-6.29,31.97,43.92,19.99,133.28,217.9
4,GOOGL,Alphabet Inc.,2144119291904,9356712,0.0,-2.07,6.25,-6.24,31.98,43.35,19.18,130.86,213.05
5,AMZN,"Amazon.com, Inc.",2118667468800,19115157,0.0,-3.24,10.24,4.52,15.68,62.12,17.75,33.89,147.73
6,META,"Meta Platforms, Inc.",1398718857216,8836279,0.0,-5.83,-6.39,11.97,13.43,110.4,66.05,131.68,235.93
7,TSLA,"Tesla, Inc.",1074952798208,90375753,0.0,4.45,37.22,32.8,85.63,42.85,-5.67,225.52,1511.93
8,AVGO,Broadcom Inc.,772693819392,9276843,0.0,-9.89,-8.44,-3.15,24.56,111.19,165.59,489.67,639.89
9,COST,Costco Wholesale Corporation,406369730560,770419,0.0,-2.75,3.22,8.44,21.3,82.22,74.01,204.36,379.63
10,NFLX,"Netflix, Inc.",360090632192,2701744,0.0,5.99,16.75,28.37,40.8,105.84,37.22,61.04,147.95
11,ASML,ASML Holding N.V. - New York Re,282459963392,1190963,0.0,-0.28,-18.82,-36.97,-30.66,-6.09,-14.1,85.09,297.76
12,TMUS,"T-Mobile US, Inc.",275523534848,1064418,0.0,0.93,12.47,31.1,44.17,85.07,101.14,129.88,246.38
13,CSCO,"Cisco Systems, Inc.",229893701632,6467759,0.0,-0.65,9.39,22.62,20.73,21.66,1.65,41.74,45.28
14,AMD,"Advanced Micro Devices, Inc.",227340582912,25523125,0.0,-5.29,-18.91,-22.08,-31.69,15.76,-4.12,153.21,471.7
15,ADBE,Adobe Inc.,219562950656,1172365,0.0,0.78,0.47,-11.87,-8.5,13.56,-12.48,15.14,101.53
16,PEP,"Pepsico, Inc.",217860210688,2972664,0.0,-3.76,-6.76,-2.29,-0.42,-9.4,1.16,34.12,66.96
17,LIN,Linde plc,213299740672,645107,0.0,-2.47,-4.54,2.57,-1.9,25.65,37.26,100.27,195.34
18,AZN,Astrazeneca PLC,203819712512,4862510,0.0,-1.46,-17.33,-18.15,-1.34,-11.99,17.75,21.2,102.27
19,INTU,Intuit Inc.,190309842944,741771,0.0,-0.69,10.97,3.42,6.69,62.03,8.98,140.65,229.12
20,ISRG,"Intuitive Surgical, Inc.",189697392640,676147,0.0,-0.78,10.7,21.73,37.42,71.24,46.25,162.71,204.35
21,TXN,Texas Instruments Incorporated,188400173056,1965578,0.0,-6.24,2.81,3.71,23.51,25.34,20.22,76.95,137.45
22,QCOM,QUALCOMM Incorporated,183065034752,3071988,0.0,-3.51,-0.86,-20.38,3.09,45.72,-3.98,94.96,283.09
23,BKNG,Booking Holdings Inc. Common St,165827706880,93838,0.0,1.36,18.36,22.85,47.12,90.62,110.07,180.46,174.72
24,CMCSA,Comcast Corporation,164502962176,5569761,0.0,-2.06,5.02,11.27,4.62,10.95,-6.44,14.13,34.4
25,PDD,PDD Holdings Inc.,163881811968,5356959,0.0,0.11,-18.58,-14.53,-2.79,57.4,104.37,38.26,307.25
26,AMGN,Amgen Inc.,149375057920,1633846,0.0,-14.56,-12.51,-15.23,1.88,30.74,35.48,25.06,76.93
27,HON,Honeywell International Inc.,148887044096,991755,0.0,4.86,11.18,7.27,17.88,19.39,18.91,65.05,79.08
28,AMAT,"Applied Materials, Inc.",140424855552,3751761,0.0,-11.24,-15.15,-30.46,-17.51,26.36,12.26,184.88,361.56
29,ARM,Arm Holdings plc,134223208448,4404340,0.0,-13.42,-11.08,-28.07,-4.75,,,,
30,PANW,"Palo Alto Networks, Inc.",126480875520,1139974,0.0,-1.25,8.84,13.38,32.77,73.47,106.41,382.15,426.43
31,ADP,"Automatic Data Processing, Inc.",121882615808,384421,0.0,-1.84,4.8,23.9,24.64,42.9,30.97,119.97,138.41
32,VRTX,Vertex Pharmaceuticals Incorpor,120150147072,466965,0.0,-9.76,1.61,-5.0,12.24,40.21,108.69,58.01,143.48
33,SBUX,Starbucks Corporation,113378344960,3155417,0.0,3.16,4.6,39.16,11.83,4.63,-4.54,45.68,66.46
34,GILD,"Gilead Sciences, Inc.",110332280832,4647296,0.0,-8.29,3.93,26.24,25.24,19.96,36.97,38.01,59.69
35,MU,"Micron Technology, Inc.",108213018624,8141679,0.0,-12.69,-4.72,-25.26,3.73,50.75,5.42,97.34,151.71
