Rank,Symbol,Name,Market Cap,Volume,1d%,7d%,30d%,90d%,6mo%,1y%,2y%,3y%,4y%
1,NVDA,NVIDIA Corporation,3653242716160,223234132,0.0,1.2,10.83,16.35,65.77,279.33,375.83,1355.0,3873.52
2,AAPL,Apple Inc.,3450634764288,34871882,0.0,1.81,-0.44,-2.57,35.47,27.11,28.66,142.71,458.26
3,MSFT,Microsoft Corporation,3106218704896,16416536,0.0,-0.05,0.08,-6.89,4.28,29.08,24.91,112.6,318.36
4,AMZN,"Amazon.com, Inc.",2161192992768,30846395,0.0,-1.08,10.5,6.0,17.92,65.77,20.59,36.41,150.55
5,GOOGL,Alphabet Inc.,2153292627968,23168962,0.0,-1.24,10.05,-3.03,35.89,46.09,20.73,135.74,212.88
5,GOOG,Alphabet Inc.,2152517730304,15216093,0.0,-1.31,10.13,-3.06,35.8,46.51,21.58,137.18,217.83
6,META,"Meta Platforms, Inc.",1415646937088,8968257,0.0,-3.79,-4.98,14.67,13.32,112.41,62.57,133.59,232.51
7,TSLA,"Tesla, Inc.",1110680797184,88203914,0.0,-1.14,43.54,34.86,95.99,41.57,-5.11,245.85,1558.73
8,AVGO,Broadcom Inc.,772280483840,16658136,0.0,-7.58,-11.08,-2.06,23.8,110.92,161.66,493.85,624.9
9,COST,Costco Wholesale Corporation,412125265920,1688944,0.0,-0.29,2.45,9.63,20.82,85.67,72.25,208.84,383.97
10,NFLX,"Netflix, Inc.",372452687872,3761235,0.0,8.18,19.78,32.76,45.78,107.45,42.11,65.21,148.0
11,TMUS,"T-Mobile US, Inc.",270626258944,3714302,0.0,-2.15,9.95,27.86,40.28,80.28,99.71,126.64,241.19
12,ASML,ASML Holding N.V. - New York Re,261681643520,1590418,0.0,-1.36,-21.54,-37.75,-33.63,-6.31,-15.86,78.91,291.98
13,CSCO,"Cisco Systems, Inc.",227837607936,17261060,0.0,-2.76,6.44,21.14,18.79,20.3,-1.33,41.99,43.57
14,AMD,"Advanced Micro Devices, Inc.",226203484160,22967020,0.0,-5.4,-18.49,-21.49,-33.82,11.58,-9.7,153.81,477.66
15,ADBE,Adobe Inc.,221627973632,1916527,0.0,-0.97,1.12,-11.81,-8.01,10.05,-13.51,17.2,96.13
16,PEP,"Pepsico, Inc.",215411638272,6645163,0.0,-4.59,-9.17,-4.16,-2.36,-10.76,-1.21,32.09,63.36
17,LIN,Linde plc,211692716032,2013839,0.0,-2.71,-5.43,-0.08,-3.34,25.01,34.33,97.41,196.71
18,AZN,Astrazeneca PLC,197818925056,4834714,0.0,-1.53,-17.69,-18.32,-1.65,-11.41,17.36,22.88,102.45
19,ISRG,"Intuitive Surgical, Inc.",191916376064,1117454,0.0,0.57,9.88,23.02,38.81,72.28,47.79,167.52,209.41
20,TXN,Texas Instruments Incorporated,183419486208,5556013,0.0,-6.86,-1.26,-1.41,19.38,23.2,14.32,72.23,131.59
21,QCOM,QUALCOMM Incorporated,182992830464,6163097,0.0,-2.13,-3.24,-21.03,-0.98,42.17,-5.94,97.61,282.02
22,INTU,Intuit Inc.,182965534720,2493894,0.0,-7.63,3.8,-3.14,-0.5,50.68,0.61,131.54,202.87
23,BKNG,Booking Holdings Inc. Common St,164721950720,188917,0.0,-1.75,15.96,21.11,46.23,92.35,109.35,186.97,169.36
24,PDD,PDD Holdings Inc.,163430465536,7450227,0.0,0.45,-16.82,-13.37,0.89,54.64,106.6,40.85,293.18
25,CMCSA,Comcast Corporation,161539670016,20047398,0.0,-4.25,2.22,7.64,2.74,9.83,-8.74,11.83,32.33
26,AMGN,Amgen Inc.,153100468224,2944243,0.0,-12.31,-12.48,-14.7,3.46,33.95,36.71,26.04,80.49
27,HON,Honeywell International Inc.,148477181952,3694650,0.0,1.81,7.31,5.54,15.61,19.12,17.79,63.23,74.56
28,ARM,Arm Holdings plc,139921899520,4001262,0.0,-6.27,-10.36,-25.57,-2.87,,,,
29,AMAT,"Applied Materials, Inc.",139579834368,8355502,0.0,-10.21,-17.43,-31.0,-19.9,25.6,6.57,181.9,363.33
30,PANW,"Palo Alto Networks, Inc.",127048908800,2266112,0.0,-2.52,6.94,14.64,39.16,76.31,104.84,390.43,428.79
31,ADP,"Automatic Data Processing, Inc.",121234759680,1741743,0.0,-3.01,3.4,21.65,24.1,42.12,28.01,122.43,133.82
32,VRTX,Vertex Pharmaceuticals Incorpor,115375562752,2174927,0.0,-10.71,-4.27,-8.38,8.78,34.09,101.5,54.19,138.33
33,SBUX,Starbucks Corporation,111479726080,8234481,0.0,-1.35,3.21,31.85,9.45,4.14,-7.65,45.61,64.98
34,GILD,"Gilead Sciences, Inc.",109360185344,8020836,0.0,-9.56,1.87,23.63,24.71,19.29,34.99,36.76,58.23
35,MU,"Micron Technology, Inc.",108357156864,12620801,0.0,-10.05,-3.9,-23.26,2.57,50.54,5.44,99.02,152.62
36,ADI,"Analog Devices, Inc.",104477016064,2883205,0.0,-4.55,-9.78,-13.18,10.64,17.9,26.1,95.83,135.02
37,INTC,Intel Corporation,104374599680,56868343,0.0,-3.39,3.15,-29.08,-45.06,-21.21,-49.76,-54.1,-42.87
38,MELI,"MercadoLibre, Inc.",97162076160,322638,0.0,-2.28,-6.42,11.4,25.62,58.58,47.52,100.34,420.68
39,LRCX,Lam Research Corporation,90287038464,7431445,0.0,-7.88,-15.31,-32.75,-26.0,23.87,12.66,170.99,513.17
40,CTAS,Cintas Corporation,87907082240,1130568,0.0,-2.56,4.41,21.39,41.0,88.02,109.18,244.31,406.71
41,MDLZ,"Mondelez International, Inc.",86276235264,5502261,0.0,-3.37,-10.11,-2.36,-9.12,-9.25,4.61,32.78,57.71
42,PYPL,"PayPal Holdings, Inc.",85458141184,11696844,0.0,-3.28,2.99,36.05,44.68,32.45,-56.21,-50.48,-8.26
43,CRWD,"CrowdStrike Holdings, Inc.",85030191104,2842565,0.0,3.17,18.42,-4.27,7.2,136.27,68.52,249.58,
44,KLAC,KLA Corporation,82350678016,1393594,0.0,-7.31,-23.27,-28.68,-13.38,34.12,44.69,231.32,527.86
45,ABNB,"Airbnb, Inc.",82312593408,5136557,0.0,-4.34,-2.99,-13.1,-19.79,11.52,-23.44,,
46,CDNS,"Cadence Design Systems, Inc.",82177425408,1259703,0.0,-0.42,7.18,-3.88,-4.16,30.67,56.34,203.64,503.0
47,SNPS,"Synopsys, Inc.",82032951296,570623,0.0,-4.0,0.95,-12.89,-7.28,21.71,42.18,176.38,447.38
48,REGN,"Regeneron Pharmaceuticals, Inc.",81266384896,979213,0.0,-9.82,-26.44,-32.0,-23.4,-0.26,17.3,17.78,75.04
