Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4695319379968,160005644,0.34,0.68,2.63,3.16,3.9,4.32,7.13,37.78,81.21,627.49,834.87,2638.46
2,AAPL,Apple Inc.,3999893815296,46710423,0.12,2.24,4.44,3.98,0.88,5.02,10.05,36.06,24.0,74.43,96.82,289.62
3,GOOG,Alphabet Inc.,3761199644672,14830676,0.04,-0.25,2.42,0.5,-9.85,-5.54,26.38,83.6,108.96,203.95,129.13,374.4
3,GOOGL,Alphabet Inc.,3760957423616,25474628,0.07,-0.19,2.66,0.61,-9.54,-5.38,26.75,85.34,110.12,205.73,129.57,375.59
4,MSFT,Microsoft Corporation,2891195088896,32741944,0.11,1.18,-2.37,-2.97,-7.91,-18.65,-23.94,-16.34,-3.0,44.08,37.83,134.58
5,AMZN,"Amazon.com, Inc.",2238874910720,38498662,0.17,1.6,1.81,4.49,-14.16,-15.69,-3.62,0.31,18.91,112.73,28.45,82.46
6,META,"Meta Platforms, Inc.",1617144709120,10104424,0.06,0.32,-0.85,-1.62,-9.5,-2.11,-9.71,-6.41,27.27,217.38,98.83,218.27
7,AVGO,Broadcom Inc.,1543237140480,21337493,0.14,-1.47,-2.54,-1.72,-1.7,-5.65,-5.24,25.97,134.62,439.21,628.71,1332.49
8,TSLA,"Tesla, Inc.",1536170524672,57596019,0.37,2.39,-0.57,-1.84,-2.95,-8.01,-4.63,43.79,89.29,113.43,52.43,775.59
9,WMT,Walmart Inc.,1010558894080,19920423,0.2,0.75,1.51,-5.16,2.17,10.67,18.47,29.96,65.82,172.46,188.59,235.14
10,ASML,ASML Holding N.V. - New York Re,581367627776,1530906,0.03,0.79,2.66,6.46,4.05,17.73,52.81,101.43,102.4,138.81,115.77,464.42
11,MU,"Micron Technology, Inc.",470474129408,32982061,0.7,-0.7,0.16,0.98,-4.52,21.13,123.55,294.05,387.3,609.3,541.22,850.78
12,COST,Costco Wholesale Corporation,443260665856,1647441,0.04,1.26,1.07,-0.04,3.11,8.1,5.78,-0.81,12.25,110.84,135.05,260.61
13,AMD,"Advanced Micro Devices, Inc.",348647063552,79838658,2.29,8.77,5.15,3.84,-13.17,5.25,-1.95,84.84,54.79,121.34,103.58,328.71
14,NFLX,"Netflix, Inc.",331037048832,31610255,0.95,2.66,1.35,2.87,-5.7,-12.77,-35.79,-37.59,15.54,138.17,24.88,87.93
15,CSCO,"Cisco Systems, Inc.",308738523136,19465962,0.63,0.51,-0.53,4.19,-3.1,5.77,14.42,23.04,66.73,68.34,62.95,126.31
16,PLTR,Palantir Technologies Inc.,308143489024,46309653,1.5,-1.35,-4.49,-0.22,-12.8,-27.41,-28.32,7.45,272.37,1502.49,443.86,
17,LRCX,Lam Research Corporation,306785320960,8852913,0.29,0.82,2.89,5.6,2.84,11.86,76.89,189.42,237.73,406.52,368.53,1009.03
18,AMAT,"Applied Materials, Inc.",299971149824,5707652,0.19,1.17,2.19,15.23,15.23,25.64,73.77,131.58,115.76,226.27,210.02,751.38
19,TMUS,"T-Mobile US, Inc.",248286101504,5836465,0.24,0.92,3.1,3.4,13.84,10.68,-2.76,-8.59,15.85,59.67,97.6,166.55
20,LIN,Linde plc,236330401792,2654305,0.11,1.17,2.83,6.59,9.53,13.49,10.15,7.91,10.64,50.45,80.53,203.14
21,PEP,"Pepsico, Inc.",231818838016,5434146,0.23,0.72,3.01,1.4,9.24,21.18,12.97,33.3,-0.21,3.59,23.3,55.38
22,INTC,Intel Corporation,230377619456,96456289,4.19,5.71,3.36,-0.77,-5.51,1.25,29.44,130.72,141.85,61.94,-4.02,-9.47
23,AMGN,Amgen Inc.,206392819712,2357832,0.11,0.91,1.96,5.28,11.85,18.22,32.13,36.34,23.11,77.65,118.63,99.35
24,KLAC,KLA Corporation,197962268672,638241,0.03,1.28,2.5,3.98,6.96,7.76,47.33,91.24,114.92,314.06,393.79,973.36
25,TXN,Texas Instruments Incorporated,193854734336,9414639,0.49,-2.96,-2.16,-4.33,-5.18,12.84,24.56,14.56,10.94,31.9,29.1,128.8
26,GILD,"Gilead Sciences, Inc.",183173939200,8137554,0.44,-1.46,-2.3,-2.75,3.32,21.92,25.43,36.44,95.12,104.23,157.24,130.69
27,ISRG,"Intuitive Surgical, Inc.",175441444864,1401152,0.08,0.39,-1.1,3.22,-0.55,-15.73,13.21,-11.48,3.05,95.6,52.26,197.09
28,ADI,"Analog Devices, Inc.",174360936448,4539932,0.26,0.26,3.12,7.46,12.38,18.33,51.8,64.54,66.31,102.08,133.92,280.6
29,HON,Honeywell International Inc.,164161404928,2573371,0.16,0.23,1.18,1.58,7.05,17.47,24.64,15.31,31.94,45.89,31.87,112.26
30,QCOM,QUALCOMM Incorporated,154631569408,10991891,0.71,3.11,2.48,4.56,-5.14,-18.56,-10.03,-0.82,-7.45,24.63,29.26,116.9
31,SHOP,Shopify Inc.,152603426816,10389321,0.68,-0.3,-5.55,5.67,-11.55,-28.91,-23.52,11.33,71.63,159.44,-13.85,90.55
32,PDD,PDD Holdings Inc.,151731814400,6290123,0.41,1.06,4.84,6.65,3.32,-11.34,-15.91,7.6,15.6,49.11,14.29,135.26
