Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,AAPL,Apple Inc.,3750683475968,32003804,0.09,0.07,0.15,2.11,8.58,9.96,18.53,45.22,30.67,51.71,128.77,491.7
2,MSFT,Microsoft Corporation,3325398614016,18119504,0.05,-0.51,0.89,2.25,8.33,10.29,12.69,6.91,33.81,51.28,118.87,321.25
3,NVDA,NVIDIA Corporation,3287782522880,226029013,0.69,-2.25,-0.61,-7.5,-8.46,1.13,35.75,48.61,217.39,436.46,1102.47,3383.41
4,AMZN,"Amazon.com, Inc.",2391742087168,28249154,0.12,-0.66,1.08,4.26,14.66,22.03,39.74,26.1,74.46,45.53,43.62,177.21
5,GOOGL,Alphabet Inc.,2332223602688,23668705,0.1,-1.11,2.51,8.99,13.37,11.06,19.72,26.22,56.47,41.0,154.29,239.32
5,GOOG,Alphabet Inc.,2332214165504,18360673,0.08,-1.16,2.6,8.81,13.21,10.95,19.35,26.14,56.62,41.59,157.03,244.19
6,META,"Meta Platforms, Inc.",1566067261440,7930626,0.05,-1.66,0.17,1.07,10.17,9.3,27.0,28.0,111.37,94.69,131.79,282.17
7,TSLA,"Tesla, Inc.",1400324489216,86211086,0.62,4.34,8.79,21.88,28.44,74.6,127.49,148.15,54.43,31.44,350.43,1979.0
8,AVGO,Broadcom Inc.,1049946423296,119001580,1.13,24.43,30.84,31.8,37.12,32.41,65.51,70.71,166.29,325.31,671.22,887.82
9,COST,Costco Wholesale Corporation,439214014464,2876564,0.07,0.1,-0.41,-0.16,3.53,13.33,22.26,35.63,88.78,110.61,213.72,397.21
10,NFLX,"Netflix, Inc.",392778317824,2477845,0.06,-0.72,0.6,0.86,2.38,21.54,50.27,51.3,106.07,78.12,85.73,153.22
11,ASML,ASML Holding N.V. - New York Re,282545651712,1450752,0.05,0.77,1.89,-0.19,6.91,6.84,-13.88,-25.49,1.7,6.03,104.31,314.85
12,TMUS,"T-Mobile US, Inc.",269164052480,2748884,0.1,-0.57,-0.67,-4.58,-1.61,4.31,22.53,43.63,69.38,124.32,105.4,227.77
13,PANW,"Palo Alto Networks, Inc.",257965342720,1921234,0.07,-1.77,0.86,-2.83,-1.15,9.1,29.23,38.36,52.44,126.97,351.43,362.71
