Rank,Symbol,Name,Market Cap,Volume,1d%,7d%,30d%,90d%,6mo%,1y%,2y%,3y%,4y%
1,NVDA,NVIDIA Corporation,3477090074624,210771472,-3.2,-2.94,5.32,17.26,62.23,246.23,373.99,1254.9,3641.62
2,AAPL,Apple Inc.,3474139906048,25850367,0.67,2.19,1.21,2.85,35.23,26.44,30.34,140.02,452.91
3,MSFT,Microsoft Corporation,3099750301696,15211352,0.96,-1.77,0.32,-4.99,3.19,26.14,25.06,104.82,317.08
4,AMZN,"Amazon.com, Inc.",2071612751872,23004538,-0.49,-7.8,4.55,7.43,12.58,55.86,16.67,23.5,140.71
5,GOOG,Alphabet Inc.,2029111214080,18750515,-1.46,-7.6,1.37,-6.82,22.67,34.36,14.12,113.56,199.82
5,GOOGL,Alphabet Inc.,2026807099392,31124976,-1.58,-7.77,1.07,-7.03,22.14,33.56,12.77,111.52,194.58
6,META,"Meta Platforms, Inc.",1411492872192,7199410,-0.75,-3.64,-5.26,17.56,10.68,106.61,63.46,128.41,228.8
7,TSLA,"Tesla, Inc.",1131546148864,82911461,3.8,6.75,61.86,41.45,101.06,36.27,-2.63,221.86,1567.01
8,AVGO,Broadcom Inc.,767048941568,8533165,0.23,-5.33,-9.45,2.71,26.91,98.16,160.68,479.39,609.74
9,COST,Costco Wholesale Corporation,427247403008,1617184,0.98,3.35,8.69,15.29,33.58,90.88,77.35,220.18,401.11
10,NFLX,"Netflix, Inc.",383895142400,2565198,0.02,8.09,24.2,39.6,48.42,106.02,47.03,78.67,154.88
11,TMUS,"T-Mobile US, Inc.",276672413696,1551327,0.73,-1.07,11.86,31.16,46.35,86.33,105.72,128.01,261.53
12,ASML,ASML Holding N.V. - New York Re,264556756992,1115026,0.16,-0.02,-19.73,-26.84,-31.86,-7.51,-13.44,79.0,282.99
13,CSCO,"Cisco Systems, Inc.",233329983488,9277757,1.81,-0.98,8.02,22.91,21.29,20.88,0.56,42.25,47.17
14,ADBE,Adobe Inc.,225483636736,1528388,1.67,-3.69,3.52,-7.9,-7.04,7.07,-9.91,12.65,101.64
15,AMD,"Advanced Micro Devices, Inc.",224256114688,18614507,0.57,-0.73,-17.64,-11.23,-33.32,11.04,-6.73,140.65,494.5
16,PEP,"Pepsico, Inc.",222248665088,3685532,0.9,-1.79,-7.45,-4.31,0.77,-7.46,1.1,37.15,68.7
17,LIN,Linde plc,216680464384,1166056,0.0,-0.26,-4.0,2.32,-0.72,23.82,36.87,101.1,204.21
18,AZN,Astrazeneca PLC,203493031936,5784605,2.23,0.61,-15.07,-15.33,-0.61,-8.88,19.62,23.83,107.83
19,ISRG,"Intuitive Surgical, Inc.",194911830016,829442,-0.52,2.06,12.99,31.63,39.79,73.64,49.96,146.17,214.83
20,TXN,Texas Instruments Incorporated,180965621760,4614681,0.16,-3.5,-2.58,-2.3,17.57,16.96,13.48,64.56,118.6
21,INTU,Intuit Inc.,179630735360,2857794,-5.43,-9.12,4.08,0.86,-1.08,44.77,0.98,120.65,196.85
22,QCOM,QUALCOMM Incorporated,174221475840,4208623,0.77,-2.34,-7.84,-17.75,-7.3,29.44,-10.48,83.98,253.32
23,BKNG,Booking Holdings Inc. Common St,171321098240,179478,-0.72,3.73,20.74,31.93,49.11,99.34,118.51,204.07,173.25
24,CMCSA,Comcast Corporation,166435356672,7637059,-0.03,-0.96,5.4,9.15,4.51,11.62,-6.44,15.44,34.52
25,AMGN,Amgen Inc.,158491607040,2032841,1.67,-1.44,-9.51,-9.6,10.07,38.98,42.4,29.78,85.48
26,HON,Honeywell International Inc.,149218672640,1699276,1.46,-1.09,6.73,6.49,16.07,17.83,17.78,63.75,74.33
27,AMAT,"Applied Materials, Inc.",144105816064,3233031,-0.51,-4.12,-14.53,-19.32,-14.42,24.82,11.5,185.44,363.18
28,ARM,Arm Holdings plc,142788853760,2959334,2.02,0.55,-10.32,-14.21,3.31,,,,
