Rank,Symbol,Name,Market Cap,Volume,1d%,7d%,30d%,90d%,6mo%,1y%,2y%,3y%,4y%
1,NVDA,NVIDIA Corporation,3578681622528,260171855,0.0,-1.62,8.22,23.66,57.46,269.65,381.9,1334.47,3823.0
2,AAPL,Apple Inc.,3461518196736,30174153,0.0,2.13,0.09,0.28,35.99,25.54,29.82,143.97,450.6
3,MSFT,Microsoft Corporation,3089118265344,18442663,0.0,-1.78,-0.08,-6.15,1.92,26.41,24.66,112.51,310.31
4,GOOGL,Alphabet Inc.,2162160697344,18962205,0.0,-3.11,8.58,-2.66,31.28,42.69,20.27,132.61,206.31
4,GOOG,Alphabet Inc.,2161032036352,14881859,0.0,-3.27,8.67,-2.77,31.44,42.96,21.38,134.59,210.24
5,AMZN,"Amazon.com, Inc.",2133283307520,32574492,0.0,-2.89,8.7,7.96,14.74,60.29,18.88,36.99,144.61
6,META,"Meta Platforms, Inc.",1427649593344,9566484,0.0,-3.3,-3.14,22.53,10.63,109.27,63.83,134.36,231.4
7,TSLA,"Tesla, Inc.",1097936797696,65347421,0.0,4.12,43.25,37.64,91.45,36.91,-5.73,241.84,1496.53
8,AVGO,Broadcom Inc.,762472235008,16782306,0.0,-7.36,-12.08,5.01,17.27,95.89,160.37,483.74,621.32
9,COST,Costco Wholesale Corporation,411208122368,1203735,0.0,-0.46,3.99,9.97,18.65,83.94,71.51,209.56,381.91
10,NFLX,"Netflix, Inc.",377808715776,4050143,0.0,7.85,21.03,36.51,45.25,108.47,44.72,79.28,148.41
11,TMUS,"T-Mobile US, Inc.",273260576768,2430082,0.0,-1.48,11.36,28.7,44.25,82.84,102.37,126.98,257.7
12,ASML,ASML Holding N.V. - New York Re,259289726976,1584531,0.0,-1.61,-20.87,-29.06,-36.74,-8.67,-15.64,78.66,285.37
13,CSCO,"Cisco Systems, Inc.",229196152832,12174970,0.0,-2.06,7.4,19.41,20.48,19.36,-0.66,40.24,45.08
14,AMD,"Advanced Micro Devices, Inc.",223298666496,26528155,0.0,-4.2,-16.19,-13.69,-34.9,6.51,-10.15,150.0,490.3
