Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,AAPL,Apple Inc.,3846819807232,125429724,0.33,1.88,0.4,3.25,7.23,12.0,14.91,50.61,35.12,61.98,126.88,508.08
2,NVDA,NVIDIA Corporation,3298803056640,294899715,0.89,3.08,3.31,-3.31,-2.56,-9.52,14.09,53.09,206.96,492.5,1068.47,3468.65
3,MSFT,Microsoft Corporation,3246068596736,54064817,0.17,-0.1,-3.93,-2.76,3.1,2.83,5.13,3.18,30.99,50.96,117.31,312.74
4,AMZN,"Amazon.com, Inc.",2365033807872,86988202,0.37,0.73,-2.7,-2.32,8.19,7.08,32.23,21.53,71.96,61.96,42.9,169.53
5,GOOGL,Alphabet Inc.,2351625142272,62676066,0.27,1.54,-2.05,-2.04,13.42,6.02,19.65,25.97,61.53,48.65,155.35,229.81
5,GOOG,Alphabet Inc.,2351623045120,44855064,0.19,1.72,-2.11,-1.91,13.31,5.98,19.38,25.8,61.89,49.84,156.88,234.5
6,META,"Meta Platforms, Inc.",1477457739776,38778369,0.26,-1.73,-5.52,-7.42,1.99,-1.01,11.3,11.29,89.92,99.4,124.88,240.55
7,TSLA,"Tesla, Inc.",1351627833344,128258063,0.95,-3.46,-12.25,-0.87,21.99,41.81,109.09,155.34,54.81,34.75,282.62,2186.38
8,AVGO,Broadcom Inc.,1031217348608,130578098,1.27,1.13,-8.09,20.52,36.22,20.12,40.48,65.91,153.29,322.86,653.09,870.7
9,COST,Costco Wholesale Corporation,423510736896,5093265,0.12,-0.08,-2.85,-4.08,-1.83,4.39,10.74,34.26,83.11,105.91,206.7,376.9
10,NFLX,"Netflix, Inc.",388580671488,4501810,0.12,0.78,-1.1,-2.94,2.51,14.12,37.39,42.89,104.72,152.72,88.33,152.79
11,ASML,ASML Holding N.V. - New York Re,281116082176,2692039,0.1,-0.64,-4.01,-1.22,2.78,4.2,-19.58,-27.51,-1.39,11.39,97.93,314.06
12,TMUS,"T-Mobile US, Inc.",255667552256,8946037,0.35,1.06,-0.18,-5.99,-10.78,-4.49,12.89,38.21,59.37,115.44,94.42,217.23
13,CSCO,"Cisco Systems, Inc.",233071116288,68936410,2.96,1.54,0.0,-0.12,-1.17,0.76,29.77,22.5,19.95,15.41,57.0,35.05
14,PEP,"Pepsico, Inc.",209626349568,17684332,0.84,0.87,-2.15,-2.54,-5.73,-6.04,-10.62,-7.48,-12.65,-1.76,26.4,54.45
15,AZN,Astrazeneca PLC,202626170880,9010238,0.44,1.41,-2.72,-3.04,-3.36,1.02,-21.98,-2.52,1.1,22.19,29.94,77.31
16,LIN,Linde plc,202038607872,6609749,0.33,1.12,-1.37,-3.68,-7.68,-8.57,-5.39,-7.85,15.39,43.12,81.88,174.91
17,ADBE,Adobe Inc.,196844240896,8091947,0.41,2.24,-1.77,-18.69,-13.33,-10.73,-17.16,-7.82,-11.86,-10.71,-0.1,74.4
