Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4014456963072,182833381,0.46,-1.4,-7.56,-7.5,-9.57,-9.64,-11.47,0.17,22.58,471.83,451.27,1758.09
2,AAPL,Apple Inc.,3624949514240,38248670,0.11,-0.87,-2.37,-0.94,-5.1,-3.58,-7.7,17.15,9.1,47.53,68.03,207.08
3,GOOGL,Alphabet Inc.,3308529647616,33798613,0.1,-0.31,-5.99,-10.95,-10.73,-10.48,-3.91,52.13,68.51,157.24,85.76,283.0
3,GOOG,Alphabet Inc.,3304174911488,21415696,0.06,-0.23,-5.68,-10.66,-10.74,-10.68,-4.23,50.99,66.98,155.67,84.34,282.9
4,MSFT,Microsoft Corporation,2667926257664,40955126,0.15,0.61,-3.26,-7.73,-12.32,-10.35,-28.97,-28.27,-12.77,20.26,10.84,101.3
5,AMZN,"Amazon.com, Inc.",2157182320640,42710345,0.2,0.81,-5.08,-3.74,-5.87,1.09,-13.71,-10.7,6.42,96.91,13.35,61.86
6,AVGO,Broadcom Inc.,1391137128448,26092349,0.19,-2.42,-7.97,-8.07,-14.96,-9.58,-14.03,7.55,63.92,378.6,464.62,959.84
7,META,"Meta Platforms, Inc.",1356802949120,22495694,0.17,2.03,-9.84,-11.59,-17.08,-16.09,-10.75,-25.07,-8.64,122.3,55.54,134.25
8,TSLA,"Tesla, Inc.",1333163982848,64411027,0.48,-1.81,-7.95,-6.58,-10.89,-14.89,-13.12,13.32,63.12,119.54,5.18,501.72
9,WMT,Walmart Inc.,984591761408,20220631,0.21,0.5,0.36,2.2,-0.47,-7.57,20.45,31.67,56.32,153.0,167.32,229.43
10,ASML,ASML Holding N.V. - New York Re,492378259456,2076487,0.04,-3.72,-10.04,-8.23,-7.62,-10.85,23.1,57.25,51.13,102.13,52.49,269.14
11,COST,Costco Wholesale Corporation,442351386624,1965417,0.04,1.29,2.23,2.24,-0.87,-2.15,9.35,3.13,12.99,110.29,101.34,248.27
12,NFLX,"Netflix, Inc.",394368483328,29175337,0.74,-0.49,0.75,1.34,-5.44,20.94,-15.7,-25.33,28.63,186.84,36.86,121.57
13,MU,"Micron Technology, Inc.",362904780800,72415391,2.0,-9.88,-15.74,-27.54,-17.31,-21.8,33.11,158.79,202.48,422.79,329.14,514.21
14,PLTR,Palantir Technologies Inc.,328974991360,38488044,1.17,-3.85,-11.24,-11.65,-12.07,4.67,-19.68,-3.2,216.13,1667.99,487.57,
15,AMD,"Advanced Micro Devices, Inc.",319625723904,39667869,1.24,-2.95,-11.0,-4.5,-3.28,-5.44,-18.49,33.89,16.77,118.58,33.82,269.19
16,CSCO,"Cisco Systems, Inc.",304392339456,23662735,0.78,-3.6,-5.85,-1.87,1.09,0.25,-0.42,14.67,46.45,75.87,52.27,90.89
17,AMAT,"Applied Materials, Inc.",256431210496,6103982,0.24,-4.17,-12.51,-9.54,-4.67,-8.84,41.73,64.24,59.72,193.57,115.01,464.81
18,LRCX,Lam Research Corporation,251118059520,11053527,0.44,-5.43,-14.36,-14.56,-5.31,-15.01,35.97,97.48,144.45,292.87,233.11,600.53
19,TMUS,"T-Mobile US, Inc.",239293317120,5355280,0.22,1.48,1.22,3.56,-1.64,-2.06,0.09,-4.81,2.85,55.37,88.94,120.02
20,LIN,Linde plc,231354171392,2453714,0.11,1.66,1.41,1.93,3.58,4.14,20.33,7.59,7.42,39.41,58.91,144.39
21,PEP,"Pepsico, Inc.",214363684864,8837149,0.41,2.47,3.35,2.67,-2.92,-4.65,8.08,19.28,-5.07,-9.48,10.24,41.39
22,INTC,Intel Corporation,206815412224,83574297,4.04,-4.5,-12.7,-10.81,-9.63,-11.97,18.67,75.8,74.83,39.28,-11.74,-28.18
23,AMGN,Amgen Inc.,188134604800,2390616,0.13,0.07,-1.39,-0.26,-7.42,-5.47,3.57,20.84,11.39,60.48,92.38,84.74
24,KLAC,KLA Corporation,181660418048,997055,0.05,-4.2,-10.44,-8.53,-3.26,-5.45,22.11,50.31,74.2,269.67,249.66,665.27
25,TXN,Texas Instruments Incorporated,169728573440,5516121,0.32,-2.05,-5.26,-0.99,-4.98,-17.57,21.06,-13.82,-4.93,22.42,11.67,66.87
26,GILD,"Gilead Sciences, Inc.",169225715712,5396103,0.32,1.56,-1.39,-3.38,-6.49,-11.53,11.23,26.76,67.31,85.38,139.5,123.17
27,ISRG,"Intuitive Surgical, Inc.",160811958272,2192248,0.14,0.03,-3.66,-5.66,-8.26,-6.8,-17.18,-11.58,-6.6,49.42,28.06,129.16
28,ADI,"Analog Devices, Inc.",147974684672,3891360,0.26,-1.41,-5.88,-2.36,-5.2,-9.8,32.7,25.2,33.29,74.65,77.03,168.87
29,SHOP,Shopify Inc.,145869193216,7239370,0.5,-0.07,-5.62,-8.66,-16.28,-0.83,-20.12,-0.3,34.27,136.4,-32.53,53.58
30,ARM,Arm Holdings plc,145451335680,7851735,0.54,-4.97,-12.8,5.5,16.43,9.32,-2.35,-6.15,-9.57,,,
31,HON,Honeywell International Inc.,142060797952,3215612,0.23,0.16,-1.02,-2.42,-5.94,-6.96,14.54,2.13,13.29,26.12,16.62,65.22
32,PDD,PDD Holdings Inc.,139721605120,7097049,0.51,-1.39,-4.08,1.02,-4.11,-1.85,-23.73,-6.19,-32.01,43.49,7.72,41.21
