Rank,Symbol,Name,Market Cap,Volume,1d%,7d%,30d%,90d%,6mo%,1y%,2y%,3y%,4y%
1,NVDA,NVIDIA Corporation,3477090074624,210771472,-3.2,-2.94,5.32,17.26,62.23,246.23,373.99,1254.9,3641.62
2,AAPL,Apple Inc.,3474139906048,25850367,0.67,2.19,1.21,2.85,35.23,26.44,30.34,140.02,452.91
3,MSFT,Microsoft Corporation,3099750301696,15211352,0.96,-1.77,0.32,-4.99,3.19,26.14,25.06,104.82,317.08
4,AMZN,"Amazon.com, Inc.",2071612751872,23004538,-0.49,-7.8,4.55,7.43,12.58,55.86,16.67,23.5,140.71
5,GOOG,Alphabet Inc.,2029111214080,18750515,-1.46,-7.6,1.37,-6.82,22.67,34.36,14.12,113.56,199.82
5,GOOGL,Alphabet Inc.,2026807099392,31124976,-1.58,-7.77,1.07,-7.03,22.14,33.56,12.77,111.52,194.58
6,META,"Meta Platforms, Inc.",1411492872192,7199410,-0.75,-3.64,-5.26,17.56,10.68,106.61,63.46,128.41,228.8
7,TSLA,"Tesla, Inc.",1131546148864,82911461,3.8,6.75,61.86,41.45,101.06,36.27,-2.63,221.86,1567.01
8,BRK-B,Berkshire Hathaway Inc. New,1026351104000,1872583,0.83,1.69,3.43,7.74,18.07,41.5,58.95,149.9,131.06
9,AVGO,Broadcom Inc.,767048941568,8533165,0.23,-5.33,-9.45,2.71,26.91,98.16,160.68,479.39,609.74
10,WMT,Walmart Inc.,727943872512,19764068,2.41,5.87,13.01,28.18,52.03,77.85,98.14,120.2,211.56
11,LLY,Eli Lilly and Company,710268747776,2633525,-0.22,-7.67,-19.58,-11.58,-1.35,69.65,176.92,373.26,584.5
12,JPM,JP Morgan Chase & Co.,700456632320,4668803,1.54,3.05,11.8,19.08,34.36,81.73,70.48,187.43,183.15
13,V,Visa Inc.,599380262912,4557241,-0.09,0.04,11.65,15.48,11.2,40.21,45.22,61.11,128.15
14,UNH,UnitedHealth Group Incorporated,544145571840,2064272,-1.01,-2.37,-1.1,5.18,25.08,23.2,21.69,107.18,139.29
15,XOM,Exxon Mobil Corporation,535662133248,8644256,-0.01,1.19,-0.56,4.3,15.25,20.51,121.67,253.56,116.34
16,ORCL,Oracle Corporation,533609185280,5148967,-0.01,1.47,9.47,39.71,72.58,68.12,128.04,270.19,310.77
17,MA,Mastercard Incorporated,478547902464,1897607,1.19,-0.12,3.78,16.32,11.54,41.57,46.85,71.1,149.92
18,COST,Costco Wholesale Corporation,427247403008,1617184,0.98,3.35,8.69,15.29,33.58,90.88,77.35,220.18,401.11
19,HD,"Home Depot, Inc. (The)",416815120384,2682518,2.18,2.25,1.82,15.26,13.8,44.31,9.62,78.62,161.72
20,PG,Procter & Gamble Company (The),415158239232,7047934,2.06,5.84,3.65,5.92,11.98,26.14,15.65,57.28,107.79
21,NFLX,"Netflix, Inc.",383895142400,2565198,0.02,8.09,24.2,39.6,48.42,106.02,47.03,78.67,154.88
22,JNJ,Johnson & Johnson,373566341120,5219573,-0.15,1.32,-3.84,0.66,-1.14,0.37,-2.06,16.72,36.79
23,BAC,Bank of America Corporation,360624619520,27608751,1.16,2.46,12.04,9.99,33.69,65.7,13.32,121.5,88.42
24,CRM,"Salesforce, Inc.",327678558208,4075725,2.04,0.27,18.93,38.74,12.73,64.68,35.21,76.41,117.64
25,ABBV,AbbVie Inc.,312854446080,7391643,3.09,3.93,-8.1,4.27,1.64,35.5,46.55,111.68,189.55
26,CVX,Chevron Corporation,289653194752,4486205,0.54,3.43,8.42,2.49,11.87,9.1,54.74,131.87,77.66
27,TMUS,"T-Mobile US, Inc.",276672413696,1551327,0.73,-1.07,11.86,31.16,46.35,86.33,105.72,128.01,261.53
28,KO,Coca-Cola Company (The),275246874624,15052834,0.24,1.44,-8.14,-1.29,9.82,10.69,17.77,57.76,55.11
