Rank,Symbol,Name,Market Cap,Volume,1d%,7d%,30d%,90d%,6mo%,1y%,2y%,3y%,4y%
1,NVDA,NVIDIA Corporation,3653242716160,223234132,0.0,1.2,10.83,16.35,65.77,279.33,375.83,1355.0,3873.52
2,AAPL,Apple Inc.,3450634764288,34871882,0.0,1.81,-0.44,-2.57,35.47,27.11,28.66,142.71,458.26
3,MSFT,Microsoft Corporation,3106218704896,16416536,0.0,-0.05,0.08,-6.89,4.28,29.08,24.91,112.6,318.36
4,AMZN,"Amazon.com, Inc.",2161192992768,30846395,0.0,-1.08,10.5,6.0,17.92,65.77,20.59,36.41,150.55
5,GOOGL,Alphabet Inc.,2153292627968,23168962,0.0,-1.24,10.05,-3.03,35.89,46.09,20.73,135.74,212.88
5,GOOG,Alphabet Inc.,2152517730304,15216093,0.0,-1.31,10.13,-3.06,35.8,46.51,21.58,137.18,217.83
6,META,"Meta Platforms, Inc.",1415646937088,8968257,0.0,-3.79,-4.98,14.67,13.32,112.41,62.57,133.59,232.51
7,TSLA,"Tesla, Inc.",1110680797184,88203914,0.0,-1.14,43.54,34.86,95.99,41.57,-5.11,245.85,1558.73
8,BRK-B,Berkshire Hathaway Inc. New,1007261253632,2404724,0.0,0.32,2.84,6.83,16.07,39.84,58.04,145.46,124.85
9,AVGO,Broadcom Inc.,772280483840,16658136,0.0,-7.58,-11.08,-2.06,23.8,110.92,161.66,493.85,624.9
10,LLY,Eli Lilly and Company,710843826176,5073271,0.0,-12.19,-20.53,-22.26,-5.97,65.33,170.06,367.23,562.52
11,WMT,Walmart Inc.,697519702016,36245153,0.0,2.84,7.71,24.08,44.37,72.61,92.19,109.5,200.8
12,JPM,JP Morgan Chase & Co.,685163741184,6790336,0.0,1.59,13.9,14.49,30.52,79.03,67.18,173.53,175.61
13,V,Visa Inc.,598611656704,4885418,0.0,0.49,12.82,16.27,11.85,41.12,46.64,66.44,129.78
14,UNH,UnitedHealth Group Incorporated,533327446016,2508901,0.0,-7.72,-2.41,5.5,23.53,19.62,20.15,99.68,134.55
15,ORCL,Oracle Corporation,523453202432,4682450,0.0,-0.12,6.19,32.76,69.66,75.31,120.55,260.69,305.09
16,XOM,Exxon Mobil Corporation,521389506560,7498436,0.0,-0.72,-2.04,3.9,13.84,16.22,113.12,230.21,111.75
17,MA,Mastercard Incorporated,477014425600,1810024,0.0,-2.01,3.9,17.28,10.61,41.92,46.74,77.7,149.52
18,COST,Costco Wholesale Corporation,412125265920,1688944,0.0,-0.29,2.45,9.63,20.82,85.67,72.25,208.84,383.97
19,HD,"Home Depot, Inc. (The)",404071579648,2001812,0.0,-0.36,-2.23,10.88,9.19,41.26,8.1,74.66,151.53
20,PG,Procter & Gamble Company (The),402146623488,5682358,0.0,2.85,1.47,3.5,8.99,20.92,13.55,52.92,101.03
21,NFLX,"Netflix, Inc.",372452687872,3761235,0.0,8.18,19.78,32.76,45.78,107.45,42.11,65.21,148.0
22,JNJ,Johnson & Johnson,368365862912,5490146,0.0,-1.32,-4.76,2.09,-2.47,-0.64,-2.41,15.29,34.92
23,BAC,Bank of America Corporation,356327161856,21015109,0.0,0.72,15.48,5.85,32.68,64.34,11.87,115.52,85.09
24,CRM,"Salesforce, Inc.",312087281664,5467541,0.0,-5.36,12.33,26.52,6.94,50.88,25.77,75.12,105.98
25,ABBV,AbbVie Inc.,294352519168,3922430,0.0,-4.51,-13.79,-0.77,-5.54,27.6,38.85,98.41,174.33
26,CVX,Chevron Corporation,285722312704,4656546,0.0,3.02,7.74,3.34,11.02,6.91,50.9,119.76,73.24
27,TMUS,"T-Mobile US, Inc.",270626258944,3714302,0.0,-2.15,9.95,27.86,40.28,80.28,99.71,126.64,241.19
28,KO,Coca-Cola Company (The),269625212928,11259767,0.0,-1.22,-10.03,-1.95,7.5,8.37,15.92,54.4,51.94
29,WFC,Wells Fargo & Company,245309816832,15400444,0.0,1.2,28.35,23.53,31.05,81.91,63.12,219.49,76.24
30,MRK,"Merck & Company, Inc.",244211449856,10753384,0.0,-4.16,-12.45,-22.52,-20.49,-9.27,36.33,44.96,56.32
31,CSCO,"Cisco Systems, Inc.",227837607936,17261060,0.0,-2.76,6.44,21.14,18.79,20.3,-1.33,41.99,43.57
32,AMD,"Advanced Micro Devices, Inc.",226203484160,22967020,0.0,-5.4,-18.49,-21.49,-33.82,11.58,-9.7,153.81,477.66
33,BX,Blackstone Inc.,222313594880,1855492,0.0,0.96,25.23,36.45,52.64,118.59,52.1,291.09,571.04
34,ACN,Accenture plc,221656596480,1860530,0.0,-0.94,-2.65,9.35,-5.91,17.4,-10.83,71.78,146.4
35,ADBE,Adobe Inc.,221627973632,1916527,0.0,-0.97,1.12,-11.81,-8.01,10.05,-13.51,17.2,96.13
36,PEP,"Pepsico, Inc.",215411638272,6645163,0.0,-4.59,-9.17,-4.16,-2.36,-10.76,-1.21,32.09,63.36
37,MS,Morgan Stanley,213489582080,5227466,0.0,-0.96,22.24,26.61,58.45,62.41,46.79,190.79,274.04
38,NOW,"ServiceNow, Inc.",212146061312,1815984,0.0,-1.34,8.89,34.35,37.92,91.39,54.1,146.96,353.98
39,LIN,Linde plc,211692716032,2013839,0.0,-2.71,-5.43,-0.08,-3.34,25.01,34.33,97.41,196.71
40,MCD,McDonald's Corporation,209437818880,1678549,0.0,-3.58,-4.31,13.66,0.47,4.39,15.37,67.77,87.15
41,DIS,Walt Disney Company (The),206346911744,12149472,0.0,11.46,20.11,14.17,2.62,23.25,-25.85,-5.13,2.59
42,ABT,Abbott Laboratories,203157291008,4542773,0.0,0.28,1.49,14.57,-0.37,18.7,-12.41,30.95,78.37
43,AXP,American Express Company,202091151360,1344651,0.0,-2.53,5.21,14.69,31.86,69.55,80.7,213.29,198.87
44,PM,Philip Morris International Inc,201412657152,5473605,0.0,3.67,7.79,23.46,47.7,51.38,60.09,115.56,133.98
45,TMO,Thermo Fisher Scientific Inc,199318437888,3291059,0.0,-6.91,-15.04,-8.28,-13.76,-1.35,-22.59,31.02,111.93
46,IBM,International Business Machines,194406612992,2358388,0.0,-0.78,-9.56,15.04,10.05,64.71,82.35,118.54,115.12
47,GE,GE Aerospace,192171425792,3215097,0.0,-3.79,-6.19,9.19,40.18,110.77,204.92,414.49,271.87
48,ISRG,"Intuitive Surgical, Inc.",191916376064,1117454,0.0,0.57,9.88,23.02,38.81,72.28,47.79,167.52,209.41
49,CAT,"Caterpillar, Inc.",184589680640,1255675,0.0,-3.58,-3.15,6.85,15.21,66.96,96.6,203.02,233.11
