Rank,Symbol,Name,Market Cap,Volume,1d%,7d%,30d%,90d%,6mo%,1y%,2y%,3y%,4y%
1,NVDA,NVIDIA Corporation,3578681622528,260171855,-0.76,0.43,9.98,15.47,64.5,276.44,372.2,1343.91,3843.25
2,AAPL,Apple Inc.,3461518196736,30174153,0.32,2.13,-0.13,-2.26,35.9,27.51,29.07,143.48,460.02
3,MSFT,Microsoft Corporation,3089118265344,18442663,-0.55,-0.6,-0.47,-7.4,3.71,28.37,24.23,111.43,316.05
4,GOOGL,Alphabet Inc.,2161650171904,18962205,-1.2,-2.42,8.72,-4.19,34.26,44.33,19.28,132.9,209.12
4,GOOG,Alphabet Inc.,2161634967552,14881859,-1.25,-2.55,8.75,-4.28,34.1,44.68,20.06,134.21,213.85
5,AMZN,"Amazon.com, Inc.",2133283307520,32574492,-0.85,-1.91,9.56,5.11,16.93,64.37,19.57,35.26,148.43
6,META,"Meta Platforms, Inc.",1427649593344,9566484,0.79,-3.03,-4.23,15.57,14.22,114.09,63.85,135.43,235.14
7,TSLA,"Tesla, Inc.",1097936797696,65347421,-1.15,-2.28,41.89,33.31,93.74,39.95,-6.2,241.88,1539.7
8,BRK-B,Berkshire Hathaway Inc. New,1011022495744,2039880,-0.01,0.31,2.84,6.82,16.06,39.83,58.03,145.45,124.84
9,AVGO,Broadcom Inc.,762472235008,16782306,-1.27,-8.75,-12.21,-3.3,22.23,108.24,158.33,486.3,615.7
10,LLY,Eli Lilly and Company,715224121344,5135903,3.25,-9.34,-17.95,-19.74,-2.92,70.69,178.82,382.39,584.02
11,WMT,Walmart Inc.,700774612992,17348499,0.67,3.53,8.43,24.92,45.34,73.76,93.47,110.9,202.82
12,JPM,JP Morgan Chase & Co.,677877579776,8280081,-0.95,0.62,12.82,13.4,29.28,77.33,65.59,170.93,172.99
13,V,Visa Inc.,594851921920,6349417,-1.43,-0.95,11.21,14.61,10.25,39.1,44.54,64.06,126.49
14,UNH,UnitedHealth Group Incorporated,552630550528,3928204,4.07,-3.96,1.57,9.79,28.56,24.49,25.05,107.81,144.1
15,XOM,Exxon Mobil Corporation,528817225728,11349246,1.42,0.7,-0.64,5.38,15.46,17.88,116.15,234.91,114.77
16,ORCL,Oracle Corporation,528579690496,3605950,0.98,0.86,7.23,34.06,71.32,77.03,122.71,264.22,309.05
17,MA,Mastercard Incorporated,470425075712,2408905,-1.33,-3.32,2.52,15.71,9.14,40.02,44.79,75.33,146.19
18,COST,Costco Wholesale Corporation,411208122368,1203735,-0.22,-0.51,2.22,9.39,20.55,85.26,71.86,208.16,382.89
19,PG,Procter & Gamble Company (The),402452774912,4706978,0.08,2.93,1.55,3.58,9.07,21.02,13.63,53.03,101.18
20,HD,"Home Depot, Inc. (The)",397345193984,3016247,-1.67,-2.03,-3.86,9.02,7.36,38.9,6.3,71.74,147.32
21,NFLX,"Netflix, Inc.",377808715776,4050143,1.44,9.74,21.5,34.67,47.88,110.43,44.16,67.59,151.57
22,JNJ,Johnson & Johnson,368630726656,7592183,0.07,-1.24,-4.69,2.16,-2.4,-0.57,-2.34,15.37,35.02
23,BAC,Bank of America Corporation,353412874240,28001373,-0.75,-0.04,14.61,5.05,31.68,63.1,11.02,113.89,83.69
24,CRM,"Salesforce, Inc.",311369203712,3581391,0.7,-4.69,13.12,27.41,7.7,51.94,26.65,76.35,107.42
25,ABBV,AbbVie Inc.,296455405568,3019167,0.71,-3.82,-13.17,-0.06,-4.87,28.51,39.85,99.82,176.29
26,CVX,Chevron Corporation,287638487040,6214537,1.08,4.14,8.9,4.46,12.23,8.07,52.53,122.14,75.11
27,TMUS,"T-Mobile US, Inc.",273260576768,2430082,0.97,-1.2,11.02,29.11,41.64,82.04,101.66,128.85,244.51
28,KO,Coca-Cola Company (The),271348334592,18267106,0.64,-0.58,-9.46,-1.32,8.19,9.07,16.66,55.39,52.91
29,MRK,"Merck & Company, Inc.",246488121344,11007019,0.93,-3.27,-11.64,-21.8,-19.75,-8.43,37.61,46.32,57.78
30,WFC,Wells Fargo & Company,244983873536,14413474,0.2,1.41,28.61,23.79,31.32,82.28,63.46,220.14,76.6
31,CSCO,"Cisco Systems, Inc.",229008703488,12174970,0.86,-1.93,7.36,22.18,19.82,21.33,-0.49,43.21,44.8
32,BX,Blackstone Inc.,224419184640,2798584,0.06,1.02,25.31,36.53,52.74,118.73,52.2,291.34,571.47
33,AMD,"Advanced Micro Devices, Inc.",223298666496,26528155,-1.28,-6.62,-19.54,-22.5,-34.67,10.15,-10.86,150.55,470.24
34,ACN,Accenture plc,223117328384,1745122,0.88,-0.06,-1.8,10.31,-5.08,18.44,-10.05,73.29,148.57
35,ADBE,Adobe Inc.,219879899136,1868161,-0.02,-0.99,1.1,-11.83,-8.03,10.02,-13.53,17.17,96.08
36,PEP,"Pepsico, Inc.",217789710336,4981432,1.29,-3.36,-8.0,-2.92,-1.1,-9.61,0.06,33.79,65.47
37,LIN,Linde plc,214337781760,1828508,1.37,-1.38,-4.14,1.29,-2.02,26.72,36.17,100.11,200.77
38,MS,Morgan Stanley,212157857792,4971644,-0.42,-1.37,21.73,26.08,57.79,61.74,46.18,189.58,272.48
