Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4390737936384,195709427,0.45,-2.84,-6.32,-3.91,-2.49,3.56,1.91,33.78,38.78,675.03,723.62,2583.52
2,GOOGL,Alphabet Inc.,4114608816128,35791301,0.09,-1.16,0.43,3.59,2.37,12.32,37.55,107.76,105.13,264.67,143.99,465.56
2,GOOG,Alphabet Inc.,4112873947136,25431801,0.06,-1.22,0.6,3.74,2.4,12.16,37.56,106.55,103.6,264.51,143.55,463.84
3,AAPL,Apple Inc.,3960797134848,63714867,0.16,-0.2,4.34,8.64,3.55,-1.0,6.91,27.71,19.97,80.16,88.92,307.77
4,MSFT,Microsoft Corporation,3053492895744,56814898,0.19,-2.87,-5.14,-11.75,-13.82,-15.04,-19.24,-8.93,-1.53,65.25,42.6,160.96
5,AMZN,"Amazon.com, Inc.",2550899146752,50361798,0.2,-1.79,-1.29,-0.23,-3.18,5.23,8.36,16.3,33.89,155.07,41.19,120.04
6,META,"Meta Platforms, Inc.",1749693497344,13473350,0.08,-2.08,-6.31,5.0,7.75,4.1,-8.99,7.67,31.33,277.5,102.95,298.5
7,TSLA,"Tesla, Inc.",1583376105472,55512048,0.35,0.04,1.3,-6.03,-6.01,-12.7,-4.7,23.08,89.46,124.79,68.35,872.33
8,AVGO,Broadcom Inc.,1518772158464,36425346,0.24,-3.26,-3.14,0.09,-9.05,-2.71,-5.41,38.52,93.88,435.93,595.22,1308.58
9,WMT,Walmart Inc.,1018212843520,31961661,0.31,2.94,8.77,8.48,8.26,11.22,24.57,33.13,75.28,185.39,184.03,231.27
10,LLY,Eli Lilly and Company,899558539264,4458221,0.05,-3.9,-2.02,-5.72,-7.17,-5.05,35.46,37.63,9.85,229.74,357.73,643.01
11,JPM,JP Morgan Chase & Co.,857104318464,11053267,0.13,2.18,2.75,5.75,-2.97,1.04,1.4,19.38,50.82,143.86,126.67,273.75
12,V,Visa Inc.,632605835264,9074864,0.14,-1.47,-0.86,0.84,-4.16,-4.94,-2.69,-8.87,24.55,50.46,52.45,102.78
13,XOM,Exxon Mobil Corporation,606133157888,32820838,0.54,3.85,2.29,6.49,15.88,23.33,26.56,34.77,26.74,41.68,204.11,337.83
14,JNJ,Johnson & Johnson,561606688768,7742223,0.14,1.02,2.56,5.89,11.15,11.9,32.76,59.3,52.85,64.54,60.91,96.2
15,MA,Mastercard Incorporated,492033966080,5706305,0.12,-0.84,1.29,4.95,-2.75,-2.59,-2.91,-5.01,18.95,55.7,64.62,116.0
16,MU,"Micron Technology, Inc.",472083595264,41360199,0.88,-4.19,-3.75,4.95,21.27,68.82,159.65,340.3,288.32,665.91,481.16,831.1
17,ORCL,Oracle Corporation,444535635968,42797341,0.96,-3.37,-8.48,-12.69,-24.43,-13.86,-49.64,-2.33,13.81,81.47,85.78,216.48
18,COST,Costco Wholesale Corporation,434155094016,2728988,0.06,0.99,2.77,-0.41,3.84,14.19,3.74,-2.82,12.99,109.94,127.44,256.73
19,ABBV,AbbVie Inc.,398828011520,5240446,0.13,0.01,2.37,2.92,3.38,2.09,4.15,27.2,20.54,64.46,150.9,258.47
20,BAC,Bank of America Corporation,397620903936,40536052,1.02,0.78,2.58,5.28,-1.34,0.35,5.87,24.74,42.14,77.36,50.9,162.07
21,AMD,"Advanced Micro Devices, Inc.",394165157888,41029892,1.04,-1.69,-3.99,-6.77,16.57,20.42,50.49,110.55,55.92,194.86,131.95,375.28
22,HD,"Home Depot, Inc. (The)",379389444096,4436835,0.12,0.79,2.5,-0.7,1.64,7.36,-6.4,2.51,8.81,41.49,26.04,120.18
23,PLTR,Palantir Technologies Inc.,376296931328,112102702,2.98,6.85,3.96,-6.91,-12.0,-14.98,-12.07,23.23,385.78,1806.76,475.57,
24,PG,Procter & Gamble Company (The),363524194304,10521683,0.29,1.39,3.62,3.44,9.04,7.49,3.34,-2.35,-4.11,21.89,21.16,55.73
25,CVX,Chevron Corporation,355964911616,15600548,0.44,2.3,4.0,6.79,9.67,20.55,13.1,29.52,28.17,22.04,116.76,170.86
26,NFLX,"Netflix, Inc.",339096666112,47649871,1.41,-3.41,-3.87,-7.18,-10.59,-14.96,-33.6,-32.14,16.1,159.15,35.34,101.5
27,KO,Coca-Cola Company (The),330908958720,26962799,0.81,2.07,4.71,5.5,9.06,9.28,16.52,9.73,16.42,40.23,61.3,95.24
28,CAT,"Caterpillar, Inc.",329289138176,2467004,0.07,1.73,5.66,12.17,11.87,24.51,50.4,102.72,108.25,199.83,298.82,594.4
29,CSCO,"Cisco Systems, Inc.",328375468032,31875940,0.97,3.06,5.97,11.42,12.3,8.58,24.87,31.6,72.8,85.01,70.59,138.95
30,GE,GE Aerospace,326918471680,3665636,0.11,0.4,3.7,5.47,-4.39,2.85,3.45,35.63,82.92,356.02,415.66,809.85
31,MS,Morgan Stanley,290700558336,7554255,0.26,-1.18,0.83,2.75,-1.42,6.34,17.2,40.61,87.29,110.2,110.48,457.79
32,WFC,Wells Fargo & Company,289768898560,14013227,0.48,0.04,1.84,6.15,-2.79,0.91,10.33,23.48,68.04,123.19,117.88,239.17
33,MRK,"Merck & Company, Inc.",289343209472,25606406,0.88,2.18,6.92,7.08,6.09,15.05,46.64,59.31,6.6,14.07,83.58,80.78
34,LRCX,Lam Research Corporation,289012514816,13399918,0.46,-3.12,-7.28,5.58,4.4,39.71,79.61,173.04,165.1,394.99,302.48,848.85
35,GS,"Goldman Sachs Group, Inc. (The)",284252078080,2301878,0.08,-0.78,-0.12,2.19,-1.11,7.15,19.08,54.8,91.92,190.47,171.01,500.69
36,PM,Philip Morris International Inc,275525042176,8381019,0.3,-1.63,-0.5,2.3,7.17,13.54,10.61,7.4,58.18,104.72,118.67,219.17
37,IBM,International Business Machines,275101908992,11347479,0.41,-6.49,-4.83,0.64,-5.72,-2.04,10.62,11.72,56.26,152.93,171.35,225.53
38,RTX,RTX Corporation,272847093760,8439648,0.31,1.2,1.81,3.86,4.98,14.14,26.6,52.19,76.09,120.55,162.86,277.9
39,UNH,UnitedHealth Group Incorporated,257421197312,10643872,0.41,-0.49,-2.77,-20.23,-16.54,-13.4,-18.68,5.68,-49.32,-36.65,-25.37,18.41
40,AMAT,"Applied Materials, Inc.",252935225344,10513533,0.42,-2.96,-6.64,-1.15,3.72,25.71,58.51,83.76,53.24,180.67,139.64,574.01
41,INTC,Intel Corporation,246012542976,117242352,4.77,0.9,1.21,9.27,11.78,35.75,57.75,128.54,128.86,97.65,-0.05,-5.35
42,AXP,American Express Company,240843210752,2785323,0.12,-0.91,-2.47,-3.33,-2.77,-6.69,3.18,17.57,39.78,106.75,120.52,316.24
43,MCD,McDonald's Corporation,227982344192,4004845,0.18,0.3,1.26,3.31,4.15,-0.05,5.61,3.36,15.05,27.45,44.8,102.52
44,PEP,"Pepsico, Inc.",222954242048,19084694,0.86,4.93,9.52,12.64,15.2,9.02,15.67,27.66,-0.99,3.45,20.68,48.39
45,TMUS,"T-Mobile US, Inc.",222472814592,5870753,0.26,1.38,4.44,6.26,0.09,-1.29,-16.67,-16.68,2.31,43.22,60.19,137.46
46,LIN,Linde plc,217372393472,2615755,0.12,0.74,1.88,2.66,4.49,10.64,-1.87,3.09,3.06,36.14,60.49,170.17
47,TMO,Thermo Fisher Scientific Inc,214187425792,1836297,0.09,-2.01,-3.73,-8.93,-7.37,1.37,21.91,41.17,-5.71,4.8,-4.93,83.49
48,GEV,GE Vernova Inc.,211697778688,3314031,0.16,3.35,8.76,18.62,21.96,22.11,24.2,83.03,322.15,,,
49,C,"Citigroup, Inc.",210614517760,9743583,0.46,1.27,2.71,4.17,0.53,4.87,17.1,57.73,97.78,155.82,102.61,213.18
50,TXN,Texas Instruments Incorporated,204630999040,15173370,0.74,0.09,3.52,17.26,19.89,28.66,24.0,22.64,17.4,43.27,31.1,148.02
51,VZ,Verizon Communications Inc.,195036250112,59032929,3.03,3.68,16.18,17.03,16.09,16.44,10.84,11.86,25.37,49.54,13.68,14.5
52,T,AT&T Inc.,190209933312,53295775,2.8,2.02,6.76,13.73,13.02,11.89,-3.12,1.39,47.38,69.33,73.66,74.65
53,ABT,Abbott Laboratories,189744840704,14616194,0.77,-0.36,2.76,1.49,-12.09,-12.43,-17.8,-17.1,0.25,15.65,-4.89,41.3
54,SCHW,Charles Schwab Corporation (The,188292710400,13334334,0.71,-1.37,0.25,1.52,1.8,6.69,12.62,18.4,60.66,44.13,55.99,223.07
55,CRM,"Salesforce, Inc.",186953760768,18641137,1.0,-6.85,-8.27,-13.89,-24.29,-23.84,-20.01,-32.13,-25.32,8.43,-23.31,30.34
56,NEE,"NextEra Energy, Inc.",184977391616,9549449,0.52,2.88,0.73,4.73,9.49,9.86,21.12,21.85,16.95,30.57,21.4,73.54
57,DIS,Walt Disney Company (The),184822398976,21949006,1.19,-0.22,-6.6,-6.09,-7.62,-6.84,-7.5,-6.1,16.54,7.69,-38.57,3.07
58,BA,Boeing Company (The),183103668224,5771217,0.32,0.06,-0.38,-7.54,-2.78,11.95,8.39,13.05,29.79,12.13,7.45,58.25
59,AMGN,Amgen Inc.,182324150272,4027278,0.22,-1.77,-1.27,-1.79,4.01,4.37,22.13,27.65,7.45,61.51,81.45,85.28
60,APH,Amphenol Corporation,180009598976,8931141,0.5,1.47,-1.68,-2.6,1.34,13.46,19.67,71.93,124.42,286.29,305.04,669.27
61,KLAC,KLA Corporation,178107580416,2017672,0.11,-3.89,-19.54,-10.39,-5.09,10.89,27.06,69.24,67.09,270.68,287.9,852.91
62,GILD,"Gilead Sciences, Inc.",177782816768,6817157,0.38,0.27,2.67,5.41,16.87,17.96,26.88,45.76,101.36,98.34,135.62,137.76
