Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4695319379968,160005644,0.34,0.68,2.63,3.16,3.9,4.32,7.13,37.78,81.21,627.49,834.87,2638.46
2,AAPL,Apple Inc.,3999893815296,46710423,0.12,2.24,4.44,3.98,0.88,5.02,10.05,36.06,24.0,74.43,96.82,289.62
3,GOOG,Alphabet Inc.,3761199644672,14830676,0.04,-0.25,2.42,0.5,-9.85,-5.54,26.38,83.6,108.96,203.95,129.13,374.4
3,GOOGL,Alphabet Inc.,3760957423616,25474628,0.07,-0.19,2.66,0.61,-9.54,-5.38,26.75,85.34,110.12,205.73,129.57,375.59
4,MSFT,Microsoft Corporation,2891195088896,32741944,0.11,1.18,-2.37,-2.97,-7.91,-18.65,-23.94,-16.34,-3.0,44.08,37.83,134.58
5,AMZN,"Amazon.com, Inc.",2238874910720,38498662,0.17,1.6,1.81,4.49,-14.16,-15.69,-3.62,0.31,18.91,112.73,28.45,82.46
6,META,"Meta Platforms, Inc.",1617144709120,10104424,0.06,0.32,-0.85,-1.62,-9.5,-2.11,-9.71,-6.41,27.27,217.38,98.83,218.27
7,AVGO,Broadcom Inc.,1543237140480,21337493,0.14,-1.47,-2.54,-1.72,-1.7,-5.65,-5.24,25.97,134.62,439.21,628.71,1332.49
8,TSLA,"Tesla, Inc.",1536170524672,57596019,0.37,2.39,-0.57,-1.84,-2.95,-8.01,-4.63,43.79,89.29,113.43,52.43,775.59
9,WMT,Walmart Inc.,1010558894080,19920423,0.2,0.75,1.51,-5.16,2.17,10.67,18.47,29.96,65.82,172.46,188.59,235.14
10,LLY,Eli Lilly and Company,983119953920,2165740,0.02,-1.55,1.85,0.54,-0.02,-1.85,28.69,36.84,15.98,218.45,367.01,626.61
11,JPM,JP Morgan Chase & Co.,801827717120,9597927,0.12,-0.12,-3.49,-1.76,-3.52,-9.69,-1.14,15.11,41.52,148.42,100.59,271.62
12,XOM,Exxon Mobil Corporation,629454077952,10569402,0.17,-0.99,-1.13,-0.45,8.57,20.58,34.98,50.23,36.55,56.25,186.61,353.67
13,JNJ,Johnson & Johnson,593509941248,7236282,0.12,0.71,0.28,1.24,7.3,21.14,30.55,63.34,54.38,75.67,77.68,96.42
14,V,Visa Inc.,592332324864,9114241,0.15,0.23,-3.67,-5.23,-7.78,-11.98,-11.46,-15.75,8.76,41.69,41.86,82.67
15,MU,"Micron Technology, Inc.",470474129408,32982061,0.7,-0.7,0.16,0.98,-4.52,21.13,123.55,294.05,387.3,609.3,541.22,850.78
16,MA,Mastercard Incorporated,444433956864,5291065,0.12,0.4,-4.28,-5.59,-10.33,-13.47,-12.18,-14.58,3.12,42.91,47.84,91.4
17,COST,Costco Wholesale Corporation,443260665856,1647441,0.04,1.26,1.07,-0.04,3.11,8.1,5.78,-0.81,12.25,110.84,135.05,260.61
18,ORCL,Oracle Corporation,420019666944,21099610,0.5,3.42,-6.64,-6.61,-8.7,-26.39,-50.99,-14.05,6.02,68.07,61.88,205.84
19,ABBV,AbbVie Inc.,403741343744,4868816,0.12,-0.45,1.82,0.41,1.24,4.63,1.23,24.79,22.31,61.61,148.94,246.59
20,PG,Procter & Gamble Company (The),386835415040,7597876,0.2,0.07,4.24,2.52,7.89,17.33,12.37,3.66,-2.39,22.25,30.28,63.4
21,HD,"Home Depot, Inc. (The)",382754258944,4636177,0.12,1.99,1.56,-1.47,1.68,2.63,-0.19,5.38,8.38,46.47,26.45,102.03
22,CVX,Chevron Corporation,370560204800,4738259,0.13,0.23,0.3,2.61,7.54,15.45,24.18,39.77,41.0,33.48,107.63,170.3
23,BAC,Bank of America Corporation,368118824960,52809652,1.43,-1.29,-4.47,-4.02,-6.7,-9.74,1.16,15.49,31.4,90.19,28.79,151.46
24,GE,GE Aerospace,364585877504,4269321,0.12,1.96,3.26,10.47,11.96,7.48,15.31,37.73,110.88,370.84,451.25,995.86
25,CAT,"Caterpillar, Inc.",359515947008,2568487,0.07,1.55,1.01,1.31,11.19,24.68,46.4,122.11,134.84,270.0,339.18,674.16
26,AMD,"Advanced Micro Devices, Inc.",348647063552,79838658,2.29,8.77,5.15,3.84,-13.17,5.25,-1.95,84.84,54.79,121.34,103.58,328.71
27,KO,Coca-Cola Company (The),347225882624,16362544,0.47,0.2,2.29,2.18,7.16,14.48,20.41,16.33,17.34,42.9,69.02,110.94
28,NFLX,"Netflix, Inc.",331037048832,31610255,0.95,2.66,1.35,2.87,-5.7,-12.77,-35.79,-37.59,15.54,138.17,24.88,87.93
29,MRK,"Merck & Company, Inc.",309550284800,6609393,0.21,0.09,1.7,3.93,9.31,12.12,47.57,64.25,13.06,26.12,77.77,100.55
30,CSCO,"Cisco Systems, Inc.",308738523136,19465962,0.63,0.51,-0.53,4.19,-3.1,5.77,14.42,23.04,66.73,68.34,62.95,126.31
31,PLTR,Palantir Technologies Inc.,308143489024,46309653,1.5,-1.35,-4.49,-0.22,-12.8,-27.41,-28.32,7.45,272.37,1502.49,443.86,
32,LRCX,Lam Research Corporation,306785320960,8852913,0.29,0.82,2.89,5.6,2.84,11.86,76.89,189.42,237.73,406.52,368.53,1009.03
