Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,NVDA,NVIDIA Corporation,4463292579840,198539922,0.44,2.95,-1.99,-0.83,-2.6,0.5,3.48,60.13,75.92,784.18,728.32,2671.62
2,GOOG,Alphabet Inc.,3964148645888,22547192,0.06,1.93,-1.43,-0.23,4.45,2.02,36.47,98.59,105.85,260.4,128.3,476.97
2,AMZN,"Amazon.com, Inc.",2472753758208,46594728,0.19,0.13,-2.88,-6.5,-0.33,0.78,0.59,21.75,42.85,141.48,32.78,135.56
3,TSM,Taiwan Semiconductor Manufactur,1691422949376,16709903,0.1,-0.32,-4.54,0.77,8.37,10.95,26.7,83.64,114.16,293.54,186.9,654.2
4,AVGO,Broadcom Inc.,1558930653184,31721925,0.2,-1.14,-4.15,-4.69,-5.89,-15.58,-8.24,62.43,131.9,496.86,629.18,1465.11
5,META,"Meta Platforms, Inc.",1544982626304,14439157,0.09,1.46,-1.26,-6.14,-6.94,-8.9,-18.25,2.9,24.67,260.71,63.29,271.94
6,TSLA,"Tesla, Inc.",1434891452416,65835030,0.46,2.91,-1.63,-3.05,-6.14,-5.18,16.98,50.22,115.03,114.8,71.46,1188.83
7,AMD,"Advanced Micro Devices, Inc.",406684794880,61982045,1.52,7.71,9.6,22.95,15.86,14.6,60.47,152.83,91.89,226.07,135.33,421.94
8,BABA,Alibaba Group Holding Limited,402669993984,11577923,0.29,3.87,-1.32,11.73,13.59,6.54,8.51,36.39,120.18,87.39,6.15,-7.14
9,PLTR,Palantir Technologies Inc.,394053517312,47414969,1.2,-1.9,-6.63,-6.85,-10.23,-9.04,0.59,33.03,521.78,1877.63,532.72,
10,SHOP,Shopify Inc.,180357316608,15890994,0.88,-4.12,-12.31,-15.77,-17.48,-13.99,-4.47,39.59,155.51,229.62,-7.89,221.9
11,DE,Deere & Company,143536635904,1619705,0.11,4.09,2.81,8.49,12.99,11.84,11.91,11.05,56.25,29.5,54.14,304.8
12,HOOD,"Robinhood Markets, Inc.",95242084352,19928635,2.09,0.13,-4.01,-8.11,-9.8,-19.73,-10.05,117.99,515.46,964.52,156.59,
13,ABNB,"Airbnb, Inc.",81788559360,4644644,0.57,2.19,0.75,-4.08,-2.22,7.46,8.57,6.65,2.39,5.02,-19.52,
14,COIN,"Coinbase Global, Inc. - 3",61193396224,8229203,1.34,-0.35,-5.16,-5.75,-2.93,-15.87,-29.95,10.74,16.87,270.92,-11.5,
15,BIDU,"Baidu, Inc.",56571715584,5748488,1.02,8.17,8.62,13.06,27.97,29.14,45.13,80.39,95.49,18.35,-0.84,64.0
16,RBLX,Roblox Corporation,53121720320,12409766,2.34,-4.01,-10.6,3.29,-7.16,-21.4,-43.08,2.15,100.9,101.54,-12.36,
17,CRWV,"CoreWeave, Inc.",46866763776,28910216,6.17,-1.23,-1.01,17.36,25.53,6.51,-16.54,82.37,,,,
18,XYZ,"Block, Inc.",39013376000,6921721,1.77,2.19,-1.42,-7.98,-2.91,4.73,-13.78,37.55,11.79,-12.26,-74.56,16.36
19,TER,"Teradyne, Inc.",36887560192,3004079,0.81,3.53,1.84,6.73,17.5,15.5,100.82,206.61,97.24,132.85,98.1,329.94
20,NTRA,"Natera, Inc.",33855457280,1416042,0.42,3.38,1.02,3.61,4.96,-0.72,39.68,54.97,140.57,406.74,102.22,743.28
21,SOFI,"SoFi Technologies, Inc.",32400183296,49952270,15.42,0.59,-3.03,-6.42,-4.4,-7.7,-1.23,101.89,298.76,292.05,63.42,
22,ILMN,"Illumina, Inc.",23436175360,2268546,0.97,3.61,4.94,8.09,13.38,18.24,53.54,95.79,31.04,-22.29,-65.87,-43.25
23,KTOS,Kratos Defense & Security Solut,20360499200,6624719,3.25,-6.29,-3.19,6.06,55.66,57.63,78.2,232.3,492.29,959.67,416.22,737.43
24,BWXT,"BWX Technologies, Inc.",19155732480,908821,0.47,1.67,-1.75,4.0,19.39,17.79,23.35,87.02,127.44,263.44,287.56,374.28
25,CRCL,"Circle Internet Group, Inc.",18482348032,8004529,4.33,-0.08,-5.17,-12.38,-9.78,-15.16,-45.67,,,,,
26,TTD,"The Trade Desk, Inc.",17274353664,9066814,5.25,3.46,-2.48,-5.26,-7.97,-11.79,-21.91,-34.68,-58.33,-37.37,-51.48,78.88
27,DKNG,DraftKings Inc.,15719655424,10720620,6.82,-2.08,-10.94,-10.21,-8.57,-7.12,-31.15,-7.8,0.64,61.7,-50.4,158.64
28,ROKU,"Roku, Inc.",15404600320,2816653,1.83,1.47,-0.68,-6.22,-6.27,4.17,8.16,69.39,96.61,51.45,-69.2,16.35
29,BMNR,"BitMine Immersion Technologies,",13350213632,51206340,38.36,3.93,-4.92,-2.36,2.84,-13.8,-38.57,,,,,
30,TEM,"Tempus AI, Inc.",11620902912,7168638,6.17,-2.19,-5.22,-1.43,6.26,-14.79,-26.42,14.48,60.69,,,
31,ACHR,Archer Aviation Inc.,6217905152,48155064,77.45,-2.08,-4.4,-3.86,10.0,-1.51,-0.24,-8.83,116.07,205.78,-13.39,
32,BLSH,Bullish,5781734912,1901666,3.29,-1.54,1.78,-0.08,-5.35,-17.4,-28.93,,,,,
33,CRSP,CRISPR Therapeutics AG,5215781888,1539941,2.95,4.03,0.96,1.65,1.41,-3.78,-2.08,43.08,10.95,8.63,-54.94,23.57
34,VCYT,"Veracyte, Inc.",3422829312,535894,1.57,3.86,5.61,3.0,0.98,-2.94,35.91,42.67,98.44,81.17,-12.29,79.15
35,BEAM,Beam Therapeutics Inc.,3157900288,2213812,7.01,0.5,-2.9,12.96,11.78,14.88,44.41,53.75,21.94,-23.76,-71.19,72.89
36,WGS,GeneDx Holdings Corp.,2891615232,651643,2.25,0.36,-8.46,-26.1,-22.65,-37.07,-20.53,48.8,247.12,556.17,-65.98,
37,TXG,"10x Genomics, Inc.",2870223104,2249078,7.84,2.86,6.98,10.85,40.43,27.63,73.66,169.04,20.19,-53.59,-87.68,-63.89
38,TWST,Twist Bioscience Corporation,2674595072,1112814,4.16,4.8,5.77,23.58,32.88,35.14,70.44,11.24,-5.6,109.55,-62.98,35.56
39,RXRX,"Recursion Pharmaceuticals, Inc.",2403021312,26659633,110.94,4.77,-0.65,-1.07,11.62,-2.12,-4.95,-19.12,-31.3,-41.94,-84.01,
40,NTLA,"Intellia Therapeutics, Inc.",1625093888,9100433,56.0,9.35,18.2,35.16,53.5,45.99,22.85,58.71,-37.62,-63.97,-91.28,10.65
41,PD,"PagerDuty, Inc.",1004263744,2432139,24.22,-1.82,-8.88,-12.72,-20.4,-12.3,-35.04,-30.38,-41.47,-63.64,-76.21,-36.76
42,PACB,Pacific Biosciences of Californ,730616000,8314532,113.8,2.54,2.98,24.74,41.52,1.26,92.06,114.16,51.25,-74.03,-91.93,-22.44
43,CERS,Cerus Corporation,485981376,1094198,22.52,2.02,-7.66,22.82,22.82,22.22,102.4,87.41,15.53,-11.23,-59.71,-45.82
44,SLMT,Brera Holdings PLC,141158048,1007401,71.37,-1.72,-13.2,-17.39,-2.29,-26.13,-74.05,-76.77,-69.41,-93.71,,
